elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053
10,8,Tarras Road,86,120,All,12_1_59.47,12_1_59.47,12_1_59.47,12_1_59.47,12_1_59.47,12_1_59.47,12_1_59.47,12_1_59.47,12_1_59.47,16.61_1_95.81,16.61_1_95.81,16.61_1_95.81,16.61_1_95.81,16.61_1_95.81,16.61_1_95.81,16.61_1_95.81,16.61_1_95.81,16.61_1_95.81,16.61_1_95.81,16.61_1_95.81,16.61_1_95.81,16.61_1_95.81,16.61_1_95.81,16.61_1_95.81,16.61_1_95.81,16.61_1_95.81,16.61_1_95.81,16.61_1_95.81,16.61_1_95.81,16.61_1_95.81,16.61_1_95.81
11,9,Kowhai Glen,0,305,All,20.02_0.5_150.01,20.02_0.5_150.01,20.02_0.5_150.01,20.02_0.5_150.01,6.88_1_54.31,6.88_1_54.31,6.88_1_54.31,6.88_1_54.31,6.88_1_54.31,6.88_1_54.31,6.88_1_54.31,6.88_1_54.31,6.88_1_54.31,6.88_1_54.31,6.88_1_54.31,6.88_1_54.31,6.88_1_54.31,6.88_1_54.31,6.88_1_54.31,6.88_1_54.31,6.88_1_54.31,6.88_1_54.31,6.19_1_53.19,6.19_1_53.19,6.19_1_53.19,6.19_1_53.19,6.19_1_53.19,6.19_1_53.19,6.19_1_53.19,6.19_1_53.19,6.19_1_53.19
12,1037,Epiha Road Upper,0,415,All,10_1_47.2,10_1_47.2,10_1_47.2,10_1_47.2,6.52_1_88.91,6.52_1_88.91,6.52_1_88.91,6.52_1_88.91,6.52_1_88.91,6.52_1_88.91,6.52_1_88.91,6.52_1_88.91,6.52_1_88.91,6.52_1_88.91,5.97_1_81.34,5.97_1_81.34,5.97_1_81.34,5.97_1_81.34,5.97_1_81.34,5.97_1_81.34,5.97_1_81.34,5.97_1_81.34,5.97_1_81.34,5.48_1_74.74,5.48_1_74.74,5.48_1_74.74,5.48_1_74.74,5.48_1_74.74,5.48_1_74.74,5.48_1_74.74,5.48_1_74.74
13,1038,Gossey Drive North,1319,1723,All,10_1_47.03,10_1_47.03,10_1_47.03,10_1_47.03,6.51_1_88.71,6.51_1_88.71,6.51_1_88.71,6.51_1_88.71,6.51_1_88.71,6.51_1_88.71,6.51_1_88.71,6.51_1_88.71,6.51_1_88.71,6.51_1_88.71,5.95_1_81.11,5.95_1_81.11,5.95_1_81.11,5.95_1_81.11,5.95_1_81.11,5.95_1_81.11,5.95_1_81.11,5.95_1_81.11,5.95_1_81.11,5.46_1_74.48,5.46_1_74.48,5.46_1_74.48,5.46_1_74.48,5.46_1_74.48,5.46_1_74.48,5.46_1_74.48,5.46_1_74.48
14,10,Upper Ahu Ahu Road,0,46,All,17_1_57.2,12.98_1_102.5,12.98_1_102.5,12.98_1_102.5,12.98_1_102.5,12.98_1_102.5,12.98_1_102.5,12.98_1_102.5,12.98_1_102.5,12.98_1_102.5,12.98_1_102.5,12.98_1_102.5,12.98_1_102.5,12.98_1_102.5,12.98_1_102.5,12.34_1_97.45,12.34_1_97.45,12.34_1_97.45,12.34_1_97.45,12.34_1_97.45,12.34_1_97.45,12.34_1_97.45,12.34_1_97.45,12.34_1_97.45,12.34_1_97.45,12.34_1_97.45,12.34_1_97.45,12.34_1_97.45,12.34_1_97.45,12.34_1_97.45,12.34_1_97.45
15,10,Upper Ahu Ahu Road,46,68,All,12_1_58.05,12_1_58.05,12_1_58.05,12_1_58.05,12_1_58.05,8.98_1_56.11,8.98_1_56.11,8.98_1_56.11,8.98_1_56.11,8.98_1_56.11,8.98_1_56.11,8.98_1_56.11,8.98_1_56.11,8.98_1_56.11,8.98_1_56.11,8.98_1_56.11,8.98_1_56.11,8.98_1_56.11,8.98_1_56.11,8.98_1_56.11,8.98_1_56.11,8.98_1_56.11,8.98_1_56.11,8.98_1_56.11,8.98_1_56.11,8.98_1_56.11,16.61_1_95.81,16.61_1_95.81,16.61_1_95.81,16.61_1_95.81,16.61_1_95.81
16,11,Lower Ahu Ahu Road,0,158,All,8_1_52.53,8_1_52.53,8_1_52.53,8_1_52.53,12.2_1_96.35,12.2_1_96.35,12.2_1_96.35,12.2_1_96.35,12.2_1_96.35,12.2_1_96.35,12.2_1_96.35,12.2_1_96.35,12.2_1_96.35,12.2_1_96.35,12.2_1_96.35,12.2_1_96.35,12.2_1_96.35,12.2_1_96.35,12.2_1_96.35,12.2_1_96.35,11.36_1_89.69,11.36_1_89.69,11.36_1_89.69,11.36_1_89.69,11.36_1_89.69,11.36_1_89.69,11.36_1_89.69,11.36_1_89.69,11.36_1_89.69,11.36_1_89.69,11.36_1_89.69
17,11,Lower Ahu Ahu Road,158,179,All,12.35_1_52.94,12.35_1_52.94,12.35_1_52.94,12.35_1_52.94,12.35_1_52.94,12.35_1_52.94,12.35_1_52.94,12.35_1_52.94,12.35_1_52.94,12.35_1_52.94,12.35_1_52.94,12.35_1_52.94,12.35_1_52.94,7.64_1_47.76,7.64_1_47.76,7.64_1_47.76,7.64_1_47.76,7.64_1_47.76,7.64_1_47.76,7.64_1_47.76,7.64_1_47.76,7.64_1_47.76,7.64_1_47.76,7.64_1_47.76,7.64_1_47.76,7.64_1_47.76,7.64_1_47.76,7.64_1_47.76,7.64_1_47.76,7.64_1_47.76,7.64_1_47.76
18,12,Kriletich Drive,0,263,All,20.04_0.5_150.04,20.04_0.5_150.04,20.04_0.5_150.04,5.09_1_40.15,5.09_1_40.15,5.09_1_40.15,5.09_1_40.15,5.09_1_40.15,5.09_1_40.15,5.09_1_40.15,5.09_1_40.15,5.09_1_40.15,5.09_1_40.15,5.09_1_40.15,5.09_1_40.15,5.09_1_40.15,5.09_1_40.15,5.09_1_40.15,1_1_10.15,1_1_10.15,1_1_10.15,1_1_10.15,1_1_10.15,1_1_10.15,1_1_10.15,1_1_10.15,1_1_10.15,1_1_10.15,1_1_10.15,1_1_10,1_1_10
19,917,Port Street East,0,21,All,19_1_83.77,19_1_83.77,19_1_83.77,19_1_83.77,19_1_83.77,19_1_83.77,15.21_1_120.06,15.21_1_120.06,15.21_1_120.06,15.21_1_120.06,15.21_1_120.06,15.21_1_120.06,15.21_1_120.06,15.21_1_120.06,15.21_1_120.06,15.21_1_120.06,15.21_1_120.06,15.21_1_120.06,15.21_1_120.06,15.21_1_120.06,15.21_1_120.06,15.21_1_120.06,15.21_1_120.06,14.42_1_113.87,14.42_1_113.87,14.42_1_113.87,14.42_1_113.87,14.42_1_113.87,14.42_1_113.87,14.42_1_113.87,14.42_1_113.87
20,917,Port Street East,21,396,All,6.7_1_83.77,6.7_1_83.77,6.7_1_83.77,6.7_1_83.77,6.7_1_83.77,6.7_1_83.77,6.7_1_83.77,6.7_1_83.77,6.7_1_83.77,6.7_1_83.77,6.7_1_83.77,6.7_1_83.77,6.7_1_83.77,14.89_1_117.57,14.89_1_117.57,14.89_1_117.57,14.89_1_117.57,14.89_1_117.57,14.89_1_117.57,14.89_1_117.57,14.89_1_117.57,14.89_1_117.57,14.89_1_117.57,14.89_1_117.57,14.89_1_117.57,14.89_1_117.57,14.89_1_117.57,14.89_1_117.57,14.89_1_117.57,14.89_1_117.57,4.66_1_139.92
21,917,Port Street East,396,874,All,19_1_83.33,19_1_83.33,15.38_1_121.45,15.38_1_121.45,15.38_1_121.45,15.38_1_121.45,15.38_1_121.45,15.38_1_121.45,15.38_1_121.45,15.38_1_121.45,15.38_1_121.45,15.38_1_121.45,15.38_1_121.45,15.38_1_121.45,15.38_1_121.45,15.38_1_121.45,15.38_1_121.45,15.38_1_121.45,15.38_1_121.45,14.61_1_115.37,14.61_1_115.37,14.61_1_115.37,14.61_1_115.37,14.61_1_115.37,14.61_1_115.37,14.61_1_115.37,14.61_1_115.37,14.61_1_115.37,14.61_1_115.37,14.61_1_115.37,14.61_1_115.37
22,917,Port Street East,874,1340,All,19_1_82.97,19_1_82.97,15.35_1_121.16,15.35_1_121.16,15.35_1_121.16,15.35_1_121.16,15.35_1_121.16,15.35_1_121.16,15.35_1_121.16,15.35_1_121.16,15.35_1_121.16,15.35_1_121.16,15.35_1_121.16,15.35_1_121.16,15.35_1_121.16,15.35_1_121.16,15.35_1_121.16,15.35_1_121.16,15.35_1_121.16,14.58_1_115.07,14.58_1_115.07,14.58_1_115.07,14.58_1_115.07,14.58_1_115.07,14.58_1_115.07,14.58_1_115.07,14.58_1_115.07,14.58_1_115.07,14.58_1_115.07,14.58_1_115.07,14.58_1_115.07
23,917,Port Street East,1340,1431,All,19_1_84.94,19_1_84.94,15.49_1_122.31,15.49_1_122.31,15.49_1_122.31,15.49_1_122.31,15.49_1_122.31,15.49_1_122.31,15.49_1_122.31,15.49_1_122.31,15.49_1_122.31,15.49_1_122.31,15.49_1_122.31,15.49_1_122.31,15.49_1_122.31,15.49_1_122.31,15.49_1_122.31,15.49_1_122.31,15.49_1_122.31,14.74_1_116.35,14.74_1_116.35,14.74_1_116.35,14.74_1_116.35,14.74_1_116.35,14.74_1_116.35,14.74_1_116.35,14.74_1_116.35,14.74_1_116.35,14.74_1_116.35,14.74_1_116.35,14.74_1_116.35
24,917,Port Street East,1431,2115,All,16_1_88.73,16_1_88.73,16_1_88.73,15.73_1_124.21,15.73_1_124.21,15.73_1_124.21,15.73_1_124.21,15.73_1_124.21,15.73_1_124.21,15.73_1_124.21,15.73_1_124.21,15.73_1_124.21,15.73_1_124.21,15.73_1_124.21,15.73_1_124.21,15.73_1_124.21,15.73_1_124.21,15.73_1_124.21,15.73_1_124.21,15.73_1_124.21,15.09_1_119.11,15.09_1_119.11,15.09_1_119.11,15.09_1_119.11,15.09_1_119.11,15.09_1_119.11,15.09_1_119.11,15.09_1_119.11,15.09_1_119.11,15.09_1_119.11,15.09_1_119.11
25,917,Port Street East,2120,2350,All,16_1_88.84,16_1_88.84,16_1_88.84,15.73_1_124.21,15.73_1_124.21,15.73_1_124.21,15.73_1_124.21,15.73_1_124.21,15.73_1_124.21,15.73_1_124.21,15.73_1_124.21,15.73_1_124.21,15.73_1_124.21,15.73_1_124.21,15.73_1_124.21,15.73_1_124.21,15.73_1_124.21,15.73_1_124.21,15.73_1_124.21,15.73_1_124.21,15.09_1_119.11,15.09_1_119.11,15.09_1_119.11,15.09_1_119.11,15.09_1_119.11,15.09_1_119.11,15.09_1_119.11,15.09_1_119.11,15.09_1_119.11,15.09_1_119.11,15.09_1_119.11
26,13,Puriri Dale Way,0,293,All,18_1_39.45,18_1_39.45,10.44_1_82.44,10.44_1_82.44,10.44_1_82.44,10.44_1_82.44,10.44_1_82.44,10.44_1_82.44,10.44_1_82.44,10.44_1_82.44,10.44_1_82.44,10.44_1_82.44,10.44_1_82.44,10.44_1_82.44,10.44_1_82.44,10.44_1_82.44,10.44_1_82.44,9.64_1_76.14,9.64_1_76.14,9.64_1_76.14,9.64_1_76.14,9.64_1_76.14,9.64_1_76.14,9.64_1_76.14,9.64_1_76.14,9.64_1_76.14,9.64_1_76.14,9.64_1_76.14,9.64_1_76.14,9.64_1_76.14,9.64_1_76.14
27,15,Fendall Close,0,438,All,11_1_41.91,11_1_41.91,11_1_41.91,6.18_1_84.21,6.18_1_84.21,6.18_1_84.21,6.18_1_84.21,6.18_1_84.21,6.18_1_84.21,6.18_1_84.21,6.18_1_84.21,6.18_1_84.21,5.78_1_78.88,5.78_1_78.88,5.78_1_78.88,5.78_1_78.88,5.78_1_78.88,5.78_1_78.88,5.78_1_78.88,5.78_1_78.88,5.78_1_78.88,5.4_1_73.62,5.4_1_73.62,5.4_1_73.62,5.4_1_73.62,5.4_1_73.62,5.4_1_73.62,5.4_1_73.62,5.4_1_73.62,5.4_1_73.62,5.02_1_68.43
28,15,Fendall Close,438,585,All,7_1_74.5,7_1_74.5,7_1_74.5,7_1_74.5,8.2_1_111.88,8.2_1_111.88,8.2_1_111.88,8.2_1_111.88,8.2_1_111.88,8.2_1_111.88,8.2_1_111.88,8.2_1_111.88,8.2_1_111.88,8.2_1_111.88,7.53_1_102.75,7.53_1_102.75,7.53_1_102.75,7.53_1_102.75,7.53_1_102.75,7.53_1_102.75,7.53_1_102.75,7.53_1_102.75,7.53_1_102.75,7.53_1_102.75,6.92_1_94.4,6.92_1_94.4,6.92_1_94.4,6.92_1_94.4,6.92_1_94.4,6.92_1_94.4,6.92_1_94.4
