"file_row_index","file_section_name","file_seg_name","file_section_id","file_loc_from","file_loc_to","file_lane_name","file_length","file_area_m2","file_can_treat_flag","file_is_rehab_route_flag","file_is_roundabout_flag","file_next_surf","file_urban_rural","file_onrc","file_nzta_hierarchy","file_onf_street_category","file_onf_movement_rank","file_onf_freight","file_road_use","file_road_class","file_no_of_lanes","file_pave_use","file_adt","file_heavy_perc","file_no_of_bus_routes","file_traff_growth_perc","file_surf_class","file_surf_date","file_surf_function","file_surf_material","file_surf_life_expected","file_surf_layer_no","file_surf_thick","file_pave_type","file_pave_date","file_pave_remlife","file_msd_remlife_lwp","file_msd_remlife_rwp","file_fwd_d0_85","file_fwd_sci_85","file_su_fault_qty","file_pa_fault_qty","file_roughsegment_date","file_naasra_85","file_hsd_date","file_rut_lwpmean_85","file_rut_rwpmean_85","file_cond_survey_date","file_pct_allig","file_pct_lt_crax","file_pct_poth","file_pct_scabb","file_pct_flush","file_pct_shove","file_pct_edgebreak"
14,"Upper Ahu Ahu Road",535000,10,0,46,"All",46,368,TRUE,TRUE,FALSE,"seal","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,2,100,2,0,2,"seal","1/11/2006","R","RACK",16,4,23,TRUE,"24/06/1967",-7,-1,-1,-1,-1,0,0,"1/04/2024",80,"1/04/2024",2,1,"1/04/2024",8.9,0,0,0.8,0,0,0
15,"Upper Ahu Ahu Road",681000,10,46,68,"All",22,176,TRUE,TRUE,FALSE,"ac","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,2,100,2,0,2,"ac","31/03/2012","R","AC",15,4,53,TRUE,"24/06/1967",-7,-1,-1,-1,-1,0,0,"1/04/2024",80,"1/04/2024",2,1,"1/04/2024",1.3,0,0,0,0,0,0
16,"Lower Ahu Ahu Road",740000,11,0,158,"All",158,1264,TRUE,TRUE,FALSE,"seal","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,2,146,4,0,2,"seal","30/11/2015","R","2CHIP",11,2,29,TRUE,"25/01/1964",-10,-1,-1,-1,-1,0,0,"4/10/2023",82,"1/04/2024",2,1,"1/04/2024",0,0,0,0.4,0,0,0
17,"Lower Ahu Ahu Road",664000,11,158,179,"All",21,168,TRUE,TRUE,FALSE,"ac","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,2,146,4,0,2,"ac","2/02/2016","R","AC",35,2,48,TRUE,"25/01/1964",-10,-1,-1,-1,-1,0,0,"4/10/2023",81,"1/04/2024",2,1,"1/04/2024",0,0,0,0,0,0,0
18,"Kriletich Drive",108000,12,0,263,"All",263,2157,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,3,678,2,0,2,"ac","22/12/1988","R","AC",30,1,20,TRUE,"2/03/1937",-37,-1,-1,-1,-1,0,0,"9/10/2023",100,"1/04/2024",2,1,"1/04/2024",0,1.1,0,0.3,0,0,0
19,"Port Street East",544000,917,0,21,"All",21,109,TRUE,TRUE,FALSE,"seal","R","Access","LOCAL","zz","zz","zz","zz","RL",2,2,250,8,0,2,"seal","25/11/2004","R","2CHIP",14,2,24,TRUE,"2/01/1979",5,-1,-1,-1,-1,0,0,"1/04/2024",125,"1/04/2024",4,1,"1/04/2024",0,0,0,0.1,0.1,0,0
20,"Port Street East",348000,917,21,396,"All",375,2106,TRUE,TRUE,FALSE,"seal","R","Access","LOCAL","zz","zz","zz","zz","RL",2,2,250,8,0,2,"seal","6/03/2023","R","2CHIP",12,4,37,TRUE,"2/01/1979",5,-1,-1,-1,-1,0,0,"13/10/2023",147,"1/04/2024",4,1,"1/04/2024",0,0,0,0.1,0.1,0,0
21,"Port Street East",807000,917,396,874,"All",478,2948,TRUE,TRUE,FALSE,"seal","R","Access","LOCAL","zz","zz","zz","zz","RL",2,2,250,8,0,2,"seal","25/11/2004","R","2CHIP",14,3,29,TRUE,"2/01/1979",5,-1,-1,-1,-1,0,0,"13/10/2023",92,"1/04/2024",4,1,"1/04/2024",0,0,0,0.5,0.7,0,0
22,"Port Street East",234000,917,874,1340,"All",466,2330,TRUE,TRUE,FALSE,"seal","R","Access","LOCAL","zz","zz","zz","zz","RL",2,2,250,8,0,2,"seal","25/11/2004","R","2CHIP",14,4,34,TRUE,"2/01/1978",4,-1,-1,-1,-1,0,0,"13/10/2023",103,"1/04/2024",3,1,"1/04/2024",0.1,0,0.01,0.4,0.2,0,0
23,"Port Street East",437000,917,1340,1431,"All",91,487,TRUE,TRUE,FALSE,"seal","R","Access","LOCAL","zz","zz","zz","zz","RL",2,2,225,8,0,2,"seal","25/11/2004","R","2CHIP",14,4,29,TRUE,"2/01/1981",7,-1,-1,-1,-1,0,0,"13/10/2023",147,"1/04/2024",3,1,"1/04/2024",0,0,0,0.3,0.2,0,0
24,"Port Street East",802000,917,1431,2115,"All",684,3805,TRUE,TRUE,FALSE,"seal","R","Access","LOCAL","zz","zz","zz","zz","RL",2,1,90,8,0,2,"seal","19/03/2008","R","2CHIP",18,3,24,TRUE,"2/01/1981",7,-1,-1,-1,-1,0,0,"13/10/2023",81,"1/04/2024",2,1,"1/04/2024",0,0,0,0.1,0.3,0,0
