"file_row_index","file_section_name","file_seg_name","file_section_id","file_loc_from","file_loc_to","file_lane_name","file_length","file_area_m2","file_can_treat_flag","file_is_rehab_route_flag","file_is_roundabout_flag","file_next_surf","file_urban_rural","file_onrc","file_nzta_hierarchy","file_onf_street_category","file_onf_movement_rank","file_onf_freight","file_road_use","file_road_class","file_no_of_lanes","file_pave_use","file_adt","file_heavy_perc","file_no_of_bus_routes","file_traff_growth_perc","file_surf_class","file_surf_date","file_surf_function","file_surf_material","file_surf_life_expected","file_surf_layer_no","file_surf_thick","file_pave_type","file_pave_date","file_pave_remlife","file_msd_remlife_lwp","file_msd_remlife_rwp","file_fwd_d0_85","file_fwd_sci_85","file_su_fault_qty","file_pa_fault_qty","file_roughsegment_date","file_naasra_85","file_hsd_date","file_rut_lwpmean_85","file_rut_rwpmean_85","file_cond_survey_date","file_pct_allig","file_pct_lt_crax","file_pct_poth","file_pct_scabb","file_pct_flush","file_pct_shove","file_pct_edgebreak"
62,"Founders Lane",801000,25,0,597,"All",597,4776,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,2,472,3,0,2,"seal","9/02/2022","R","2CHIP",18,4,21,TRUE,"8/12/1944",-29,-1,-1,-1,-1,0,0,"9/10/2023",95,"1/04/2024",3,1,"1/04/2024",0,0,0,0,0,0,0
63,"Stud Road",341000,26,0,205,"All",205,2686,TRUE,TRUE,FALSE,"seal","U","Secondary Collector","LOCAL","zz","zz","zz","zz","UM",2,3,1363,3,0,2,"seal","21/03/2015","R","2CHIP",14,3,39,TRUE,"1/01/1960",-14,-1,-1,-1,-1,0,0,"3/10/2023",84,"1/04/2024",2,1,"1/04/2024",0,0,0,0,0,0,0
64,"Gallop Lane",26000,27,0,116,"All",116,951,TRUE,TRUE,FALSE,"seal","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,2,105,2,0,2,"seal","30/11/2015","R","2CHIP",11,2,26,TRUE,"26/12/1958",-15,-1,-1,-1,-1,0,0,"1/04/2024",151,"1/04/2024",3,1,"1/04/2024",0,0,0,0,0,0,0
65,"Gallop Lane",90000,27,116,136,"All",20,164,TRUE,TRUE,FALSE,"ac","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,2,105,2,0,2,"ac","2/02/2016","R","AC",35,2,48,TRUE,"2/01/1959",-15,-1,-1,-1,-1,0,0,"1/04/2024",143,"1/04/2024",2,1,"1/04/2024",0,0,0.03,0,0,0,0
66,"Dawick Street",696000,7056,0,78,"All",78,640,TRUE,TRUE,FALSE,"seal","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,1,67,2,0,2,"seal","30/11/2015","R","2CHIP",11,2,26,TRUE,"2/05/1959",-15,-1,-1,-1,-1,0,0,"1/04/2024",80,"1/04/2024",3,1,"1/04/2024",0,0,0,0,0,0,0
67,"Dawick Street",681000,7056,78,88,"All",10,82,TRUE,TRUE,FALSE,"ac","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,1,67,2,0,2,"ac","2/02/2016","R","AC",40,2,48,TRUE,"2/05/1959",-15,-1,-1,-1,-1,0,0,"1/04/2024",80,"1/04/2024",2,1,"1/04/2024",1.4,4.3,0.06,0,0,0,0
68,"Stirrup Lane",800000,28,0,261,"All",261,2558,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,2,245,3,0,2,"seal","16/02/2016","R","2CHIP",11,4,49,TRUE,"3/01/1927",-47,-1,-1,-1,-1,0,0,"5/10/2023",63,"1/04/2024",2,1,"1/04/2024",0.1,0,0,0,0,0,0
69,"Riroriro Road",844000,29,0,122,"All",122,756,TRUE,TRUE,FALSE,"seal","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,1,60,3,0,2,"seal","24/11/2015","R","2CHIP",11,4,31,TRUE,"25/03/1955",-19,-1,-1,-1,-1,0,0,"1/04/2024",99,"1/04/2024",2,1,"1/04/2024",0.1,0,0,0.3,0.3,0,0
70,"Riroriro Road",960000,29,122,139,"All",17,105,TRUE,TRUE,FALSE,"ac","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,1,60,3,0,2,"ac","31/03/2012","R","AC",30,3,45,TRUE,"1/05/1964",-10,-1,-1,-1,-1,0,0,"1/04/2024",157,"1/04/2024",2,1,"1/04/2024",0,0,0,0,0,0,0
71,"Curly McLeod Way",137000,30,0,69,"All",69,552,TRUE,TRUE,FALSE,"seal","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,1,32,2,0,2,"seal","18/12/2006","R","RACK",12,2,24,TRUE,"28/05/1964",-10,-1,-1,-1,-1,0,0,"1/04/2024",100,"1/04/2024",2,1,"1/04/2024",0,0.2,0.03,1.4,0,0,0
72,"Curly McLeod Way",185000,30,69,82,"All",13,104,TRUE,TRUE,FALSE,"ac","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,1,32,2,0,2,"ac","28/11/1984","R","AC",30,1,16,TRUE,"28/05/1964",-10,-1,-1,-1,-1,0,0,"1/04/2024",100,"1/04/2024",3,1,"1/04/2024",5.5,1.1,0,0,0,0,0
73,"Karearea Lane",452000,32,0,56,"All",56,616,TRUE,TRUE,FALSE,"ac","U","Access","LOCAL","zz","zz","zz","zz","UL",2,3,939,3,0,2,"ac","24/10/1995","R","AC",20,1,20,TRUE,"18/10/1995",22,-1,-1,-1,-1,0,0,"10/10/2023",95,"1/04/2024",2,1,"1/04/2024",0.5,0.5,0.06,0,0,0,0
74,"Karearea Lane",757000,32,84,154,"All",70,792,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,3,939,3,0,2,"ac","24/10/1995","R","AC",16,1,20,TRUE,"18/10/1995",22,-1,-1,-1,-1,0,0,"10/10/2023",110,"1/04/2024",2,1,"1/04/2024",0.8,0.4,0.03,0,0,0,0
75,"Karearea Lane",948000,32,154,820,"All",666,7721,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,3,939,3,0,2,"seal","11/12/2007","R","2CHIP",12,2,16,TRUE,"1/02/1970",-4,-1,-1,-1,-1,0,0,"10/10/2023",81,"1/04/2024",3,1,"1/04/2024",0,0,0,5.9,0.3,0,0
76,"Karearea Lane",581000,32,820,1262,"All",442,4066,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,3,939,3,0,2,"seal","10/03/2017","R","2CHIP",11,1,8,TRUE,"10/03/2017",43,-1,-1,-1,-1,0,0,"10/10/2023",104,"1/04/2024",3,1,"1/04/2024",0,0,0,0,0,0,0
77,"Okoare Lane",16000,33,0,58,"All",58,371,TRUE,TRUE,FALSE,"seal","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,1,50,3,0,2,"seal","13/03/2018","R","2CHIP",15,3,34,TRUE,"2/01/1952",-22,-1,-1,-1,-1,0,0,"1/04/2024",100,"1/04/2024",3,1,"1/04/2024",0,0,0,0,0,0,0
78,"Leicester Place",149000,35,0,660,"All",660,6418,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,3,747,4,0,2,"seal","29/01/2022","R","2CHIP",17,4,44,TRUE,"1/09/1928",-45,-1,-1,-1,-1,0,0,"5/10/2023",86,"1/04/2024",2,1,"1/04/2024",0,0,0,0,0,0,0
79,"Paneika Lane",123000,36,0,370,"All",370,4070,TRUE,TRUE,FALSE,"ac","U","Access","LOCAL","zz","zz","zz","zz","UL",2,2,408,10,0,2,"ac","22/06/2019","R","AC",25,4,93,TRUE,"17/01/1965",-9,-1,-1,-1,-1,0,0,"9/10/2023",68,"1/04/2024",1,1,"1/04/2024",0.1,0,0,0,0,0,0
80,"Paneika Lane",195000,36,370,391,"All",21,231,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,2,408,10,0,2,"seal","1/02/2004","R","2CHIP",10,3,33,TRUE,"17/01/1965",-9,-1,-1,-1,-1,0,0,"9/10/2023",78,"1/04/2024",1,1,"1/04/2024",0,0,0,0,0,0,0
81,"Paneika Lane",192000,36,391,520,"All",129,1419,TRUE,TRUE,FALSE,"ac","U","Access","LOCAL","zz","zz","zz","zz","UL",2,2,408,10,0,2,"ac","17/12/2020","R","AC",14,3,66,TRUE,"17/01/1965",-9,-1,-1,-1,-1,0,0,"9/10/2023",90,"1/04/2024",3,1,"1/04/2024",0.2,0,0,0,0,0,0
82,"Freemason Avenue",239000,37,0,149,"All",149,1937,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,3,1771,3,0,2,"seal","20/02/2008","R","2CHIP",17,4,30,TRUE,"23/03/1984",10,-1,-1,-1,-1,0,0,"5/10/2023",104,"1/04/2024",3,1,"1/04/2024",0,0,0,0,0,0,0
83,"Freemason Avenue",680000,37,149,172,"All",23,266,TRUE,TRUE,FALSE,"ac","U","Access","LOCAL","zz","zz","zz","zz","UL",2,3,1474,3,0,2,"ac","1/07/2017","R","AC",20,2,40,TRUE,"1/07/2017",43,-1,-1,-1,-1,0,0,"5/10/2023",123,"1/04/2024",2,1,"1/04/2024",0,0,0,0,0,0,0
84,"Freemason Avenue",538000,37,172,362,"All",190,1900,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,3,859,3,0,2,"seal","20/02/2008","R","2CHIP",18,2,16,TRUE,"2/01/1928",-46,-1,-1,-1,-1,0,0,"5/10/2023",154,"1/04/2024",3,1,"1/04/2024",0,0,0,0.1,0.6,0,0
85,"Tyler Place",952000,38,0,279,"All",279,2009,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,3,1840,2,0,2,"seal","19/01/2007","R","RACK",14,3,12,TRUE,"27/04/1951",-23,-1,-1,-1,-1,0,0,"8/10/2023",65,"1/04/2024",2,1,"1/04/2024",0,0,0.02,0,0,0,0
86,"Tyler Place",867000,38,279,322,"All",43,310,TRUE,TRUE,FALSE,"ac","U","Access","LOCAL","zz","zz","zz","zz","UL",2,3,1840,2,0,2,"seal","15/02/1992","R","VFILL",4,2,12,TRUE,"27/04/1951",-23,-1,-1,-1,-1,0,0,"8/10/2023",60,"1/04/2024",3,1,"1/04/2024",0,0,0.08,0.3,0,0,0
87,"Tyler Place",10000,38,322,334,"All",12,120,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,3,1840,2,0,2,"seal","11/01/2017","R","RACK",12,1,5,TRUE,"30/06/2017",43,-1,-1,-1,-1,0,0,"1/04/2024",158,"1/04/2024",3.5,1,"1/04/2024",0,2.4,0.08,0,0,0,0
88,"Tyler Place",489000,38,334,389,"All",55,583,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,3,1840,2,0,2,"seal","15/02/1992","R","VFILL",4,1,4,TRUE,"27/04/1951",-23,-1,-1,-1,-1,0,0,"1/04/2024",169,"1/04/2024",3,1,"1/04/2024",0,0,0,0,0,0,0
89,"Ashlar Court",387000,39,0,251,"All",251,2108,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,2,291,2,0,2,"seal","1/08/2000","R","VFILL",12,3,17,TRUE,"25/04/1955",-19,-1,-1,-1,-1,0,0,"8/10/2023",99,"1/04/2024",2,1,"1/04/2024",0,0,0,0.1,0,0,0
90,"Bravery Road",483000,40,0,278,"All",278,3173,TRUE,TRUE,FALSE,"ac","U","Access","LOCAL","zz","zz","zz","zz","UL",2,5,5284,3,0,2,"ac","21/05/2010","R","AC",18,3,56,TRUE,"20/10/1972",-1,-1,-1,-1,-1,0,0,"7/10/2023",104,"1/04/2024",3,1,"1/04/2024",0.1,0.1,0,0.1,0,0,0
91,"Huamanu Street",579000,41,0,116,"All",116,963,TRUE,TRUE,FALSE,"ac","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,2,100,3,0,2,"ac","3/12/1987","R","AC",30,1,18,TRUE,"2/01/1972",-2,-1,-1,-1,-1,0,0,"1/04/2024",79,"1/04/2024",2,1,"1/04/2024",0,0,0,0,0,0,0
92,"Huamanu Street",817000,41,116,134,"All",18,149,TRUE,TRUE,FALSE,"ac","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,2,100,3,0,2,"ac","1/12/2014","R","AC",30,2,30,TRUE,"2/01/1972",-2,-1,-1,-1,-1,0,0,"1/04/2024",174,"1/04/2024",2,1,"1/04/2024",0,0,0,0,0,0,0
93,"Bronte Road East",14000,1092,0,156,"All",156,1248,TRUE,TRUE,FALSE,"seal","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,2,316,2,0,2,"seal","1/02/2004","R","2CHIP",12,2,16,TRUE,"1/06/2001",27,-1,-1,-1,-1,0,0,"10/10/2023",139,"1/04/2024",3,1,"1/04/2024",0,0,0,0,0,0,0
94,"Bronte Road East",406000,1092,156,183,"All",27,216,TRUE,TRUE,FALSE,"ac","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,2,316,2,0,2,"ac","1/07/2001","R","AC",20,1,25,TRUE,"1/06/2001",27,-1,-1,-1,-1,0,0,"10/10/2023",129,"1/04/2024",2,1,"1/04/2024",0,0,0,0,0,0,0
95,"Te Manaki Street",895000,42,0,377,"All",377,3016,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,2,495,2,0,2,"seal","10/01/2006","R","2CHIP",18,3,16,TRUE,"1/08/1965",-8,-1,-1,-1,-1,0,0,"10/10/2023",48,"1/04/2024",3,1,"1/04/2024",0,0,0,0.2,0,0,0
96,"Dickins Lane",23000,44,0,474,"All",474,2939,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,3,1443,4,0,2,"seal","7/03/2022","R","RACK",10,1,5,TRUE,"3/01/1992",18,-1,-1,-1,-1,0,0,"11/10/2023",87,"1/04/2024",3,1,"1/04/2024",0,0,0,0,0,0,0
97,"Dickins Lane",347000,44,474,1091,"All",617,4395,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,3,701,4,0,2,"seal","9/03/2022","R","2CHIP",18,1,9,TRUE,"29/10/1971",-2,-1,-1,-1,-1,0,0,"11/10/2023",96,"1/04/2024",3,1,"1/04/2024",0,0,0,0,0,0,0
98,"Infantry Lane",129000,43,0,95,"All",95,332,TRUE,TRUE,FALSE,"seal","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",1,1,14,4,0,2,"seal","1/07/2004","R","2CHIP",16,1,11,TRUE,"2/01/1972",-2,-1,-1,-1,-1,0,0,"1/04/2024",98,"1/04/2024",3,1,"1/04/2024",0,0,0,0,0,0,0
99,"Chatfield Lane",16000,45,0,83,"All",83,515,TRUE,TRUE,FALSE,"seal","U","Secondary Collector","LOCAL","zz","zz","zz","zz","UM",2,1,71,2,0,2,"seal","26/02/2013","R","2CHIP",20,4,28,TRUE,"12/07/1957",-17,-1,-1,-1,-1,0,0,"1/04/2024",109,"1/04/2024",3,1,"1/04/2024",0,0,0,0,0,0,0
100,"Burkes Creek Road",757000,20,765,1789,"All",1024,13312,TRUE,TRUE,FALSE,"seal","U","Primary Collector","MINOR ARTERIAL","zz","zz","zz","zz","UH",2,4,2527,4.9,0,2,"seal","21/01/2012","R","2CHIP",12,7,51,TRUE,"2/06/1981",7,-1,-1,-1,-1,0,0,"6/10/2023",45,"1/04/2024",5.15074021188145,8.4658585424458,"1/04/2024",0,0,0,0,0,0,0
101,"Tyler Place",867000,38,279,322,"All",43,310,TRUE,TRUE,FALSE,"ac","U","Access","LOCAL","zz","zz","zz","zz","UL",2,3,1840,2,0,2,"seal","15/02/1992","R","VFILL",4,2,12,TRUE,"27/04/1951",-23,-1,-1,-1,-1,0,0,"8/10/2023",104.427899061031,"1/04/2024",4.02656425512636,3.2134655752028,"1/04/2024",0,0,0,0,16.4994868577924,0,0
102,"Epiha Road Upper",905000,1037,0,415,"All",415,3735,TRUE,TRUE,FALSE,"seal","U","Arterial","MAJOR ARTERIAL","zz","zz","zz","zz","UH",2,4,2424,14,0,2,"seal","1/04/2014","R","2CHIP",12,4,30,TRUE,"2/01/1989",15,-1,-1,-1,-1,0,0,"10/10/2023",90.1535688294563,"1/04/2024",1.89775432624209,10.8916846097066,"1/04/2024",0,0,0.557788451518863,0,0,0,0
103,"Freemason Avenue",538000,37,172,362,"All",190,1900,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,3,859,3,0,2,"seal","20/02/2008","R","2CHIP",18,2,16,TRUE,"2/01/1928",-46,-1,-1,-1,-1,0,0,"5/10/2023",96.9087664271405,"1/04/2024",2.29658889915061,5.92624211962066,"1/04/2024",0,21.7697160330135,0,0,0,0,0
104,"Infantry Lane",129000,43,0,95,"All",95,332,TRUE,TRUE,FALSE,"seal","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",1,1,14,4,0,2,"seal","1/07/2004","R","2CHIP",16,1,11,TRUE,"2/01/1972",-2,-1,-1,-1,-1,0,0,"1/04/2024",100.597071938869,"1/04/2024",5.45625740948432,4.39828231302045,"1/04/2024",0,13.9769309263211,0,0,29.278478405904,0,7.06045685103163
105,"Tarras Road",217000,8,86,120,"All",34,340,TRUE,TRUE,FALSE,"ac","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,2,130,2,0,2,"ac","31/03/2012","R","AC",25,3,35,TRUE,"2/01/1974",0,-1,-1,-1,-1,0,0,"1/04/2024",83.2803312537381,"1/04/2024",1,8.37242615720347,"1/04/2024",2.75079068006016,0,0,0,0,0,0
106,"Apple Orchard Lane",633000,23,0,185,"All",185,1850,TRUE,TRUE,FALSE,"seal","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,1,92,4,0,2,"ac","6/12/1986","R","AC",30,1,20,TRUE,"25/01/1966",-8,-1,-1,-1,-1,0,0,"4/10/2023",103.652022165647,"1/04/2024",6.40489866595143,2.66883213758228,"1/04/2024",0,39.2576540187001,0,0,0,0,0
107,"Weston Way",885000,9339,814,886,"All",72,1655,TRUE,TRUE,FALSE,"ac","U","Arterial","MINOR ARTERIAL","zz","zz","zz","zz","UH",2,6,10011,3,0,2,"seal","24/01/2002","R","2CHIP",10,3,35,TRUE,"2/01/1953",-21,-1,-1,-1,-1,0,0,"7/10/2023",65.8577112448425,"1/04/2024",5.54149186524393,9.55516262941477,"1/04/2024",7.18376578111202,37.8815412709955,0,0,0,7.16631945734844,0
108,"Tarras Road",217000,8,86,120,"All",34,340,TRUE,TRUE,FALSE,"ac","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,2,130,2,0,2,"ac","31/03/2012","R","AC",25,3,35,TRUE,"2/01/1974",0,-1,-1,-1,-1,0,0,"1/04/2024",60.0331940331433,"1/04/2024",6.2569871354256,6.52035462890296,"1/04/2024",0,0,0,0,0,0,0
109,"Tyler Place",489000,38,334,389,"All",55,583,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,3,1840,2,0,2,"seal","15/02/1992","R","VFILL",4,1,4,TRUE,"27/04/1951",-23,-1,-1,-1,-1,0,0,"1/04/2024",92.3506519794388,"1/04/2024",4.599762865672,10.4143481609807,"1/04/2024",0,30.0248116860166,0,2.33915393427014,16.1492892727256,0,0
110,"Tyler Place",10000,38,322,334,"All",12,120,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,3,1840,2,0,2,"seal","11/01/2017","R","RACK",12,1,5,TRUE,"30/06/2017",43,-1,-1,-1,-1,0,0,"1/04/2024",98.1780532612463,"1/04/2024",9.78383822266974,10.8978447423038,"1/04/2024",0,5.82283162279055,0,0,0,0,0
111,"Karearea Lane",948000,32,154,820,"All",666,7721,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,3,939,3,0,2,"seal","11/12/2007","R","2CHIP",12,2,16,TRUE,"1/02/1970",-4,-1,-1,-1,-1,0,0,"10/10/2023",60.5425271403402,"1/04/2024",6.72114272729454,4.55052629491455,"1/04/2024",0,0,0,0,0,0,0
112,"Kriletich Drive",108000,12,0,263,"All",263,2157,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,3,678,2,0,2,"ac","22/12/1988","R","AC",30,1,20,TRUE,"2/03/1937",-37,-1,-1,-1,-1,0,0,"9/10/2023",72.1331948480633,"1/04/2024",10.7356955771785,9.11863776004889,"1/04/2024",0,0,0,0,0,0,0
113,"Port Street East",398000,917,2120,2350,"All",230,1334,TRUE,TRUE,FALSE,"seal","R","Access","LOCAL","zz","zz","zz","zz","RL",2,1,90,8,0,2,"seal","19/03/2008","R","2CHIP",18,3,24,TRUE,"2/01/1981",7,-1,-1,-1,-1,0,0,"13/10/2023",69.9539565468856,"1/04/2024",5.51897070704095,10.0713846662916,"1/04/2024",0,14.7184370709583,0,0,20.2359584404621,4.58356452919543,0
114,"Weston Way",325000,9339,3398,3457,"All",59,743,TRUE,TRUE,FALSE,"seal","U","Secondary Collector","LOCAL","zz","zz","zz","zz","UM",2,3,1047,2,0,2,"ac","28/02/2005","R","AC",20,2,31,TRUE,"10/04/1996",22,-1,-1,-1,-1,0,0,"7/10/2023",85.2863054233305,"1/04/2024",7.60231675212222,10.8769560087964,"1/04/2024",0,0,0,0,0,0,0
115,"Weston Way",516000,9339,1051,1219,"All",168,3730,TRUE,TRUE,FALSE,"seal","U","Arterial","MINOR ARTERIAL","zz","zz","zz","zz","UH",2,5,9879,3,0,2,"seal","25/02/2008","R","2CHIP",11,3,37,TRUE,"2/01/1953",-21,-1,-1,-1,-1,0,0,"7/10/2023",102.643002500092,"1/04/2024",5.4192645241478,10.4476189087103,"1/04/2024",0,12.0831319142599,0.218253422779962,0,27.8696218749974,0,0
116,"Elm Close",125000,19,0,82,"All",82,508,TRUE,TRUE,FALSE,"seal","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,1,92,3,0,2,"seal","18/03/2018","R","RACK",12,5,24,TRUE,"4/01/1955",-19,-1,-1,-1,-1,0,0,"1/04/2024",99.529550062105,"1/04/2024",4.22974260893277,8.03637423490972,"1/04/2024",0,0,0,2.84003937779926,0,0,0
117,"Fendall Close",495000,15,0,438,"All",438,5480,TRUE,TRUE,FALSE,"seal","U","Primary Collector","LOCAL","zz","zz","zz","zz","UH",2,5,4503,2.1,0,2,"seal","27/03/2013","R","2CHIP",12,5,48,TRUE,"2/12/1966",-7,-1,-1,-1,-1,0,0,"7/10/2023",89.7594654476214,"1/04/2024",10.1037751697851,7.25968960820259,"1/04/2024",0,0,0,0,26.5447718801443,0,0
118,"Curly McLeod Way",185000,30,69,82,"All",13,104,TRUE,TRUE,FALSE,"ac","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,1,32,2,0,2,"ac","28/11/1984","R","AC",30,1,16,TRUE,"28/05/1964",-10,-1,-1,-1,-1,0,0,"1/04/2024",80.1254258559861,"1/04/2024",4.07681136112891,5.17497516641861,"1/04/2024",0,21.0188676691614,0,0,0,0,0
119,"Croatia Avenue",419000,6,0,42,"All",42,336,TRUE,TRUE,FALSE,"seal","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,1,50,6,0,2,"seal","19/02/2015","R","2CHIP",12,2,25,TRUE,"3/10/1978",5,-1,-1,-1,-1,0,0,"1/04/2024",68.5691790818476,"1/04/2024",1.02632775927824,9.06798754777883,"1/04/2024",18.1971479458734,0,0.067399141327478,0,0,0,0
120,"Sarah Lane",538000,16,0,515,"All",515,4602,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,3,877,3,0,2,"seal","17/12/2007","R","2CHIP",17,3,24,TRUE,"2/01/1965",-9,-1,-1,-1,-1,0,0,"4/10/2023",61.2063537777369,"1/04/2024",3.40292133131399,7.1804226945795,"1/04/2024",0,0,0,0,0,0,5.20301141450182
121,"Curly McLeod Way",185000,30,69,82,"All",13,104,TRUE,TRUE,FALSE,"ac","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,1,32,2,0,2,"ac","28/11/1984","R","AC",30,1,16,TRUE,"28/05/1964",-10,-1,-1,-1,-1,0,0,"1/04/2024",77.9911703710853,"1/04/2024",8.18154645504197,6.81365640966657,"1/04/2024",0,5.25867194170132,0.224201368102804,4.31660375534557,0,0,0
122,"Karearea Lane",581000,32,820,1262,"All",442,4066,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,3,939,3,0,2,"seal","10/03/2017","R","2CHIP",11,1,8,TRUE,"10/03/2017",43,-1,-1,-1,-1,0,0,"10/10/2023",59.1046191728514,"1/04/2024",3.69873171589613,3.21806060920744,"1/04/2024",0,0,0,0,0,0,4.51745048444718
123,"Burkes Creek Road",757000,20,765,1789,"All",1024,13312,TRUE,TRUE,FALSE,"seal","U","Primary Collector","MINOR ARTERIAL","zz","zz","zz","zz","UH",2,4,2527,4.9,0,2,"seal","21/01/2012","R","2CHIP",12,7,51,TRUE,"2/06/1981",7,-1,-1,-1,-1,0,0,"6/10/2023",73.3457006521356,"1/04/2024",7.24651980687966,6.16010042427178,"1/04/2024",0,0,0,0,25.9051558573265,0,0
124,"Karearea Lane",948000,32,154,820,"All",666,7721,TRUE,TRUE,FALSE,"seal","U","Access","LOCAL","zz","zz","zz","zz","UL",2,3,939,3,0,2,"seal","11/12/2007","R","2CHIP",12,2,16,TRUE,"1/02/1970",-4,-1,-1,-1,-1,0,0,"10/10/2023",54.0035114321481,"1/04/2024",5.62314435663791,2.19697643587286,"1/04/2024",0,0,0.542827926431783,0,0,0,0
125,"Weston Way",532000,9339,1237,1589,"All",352,4542,TRUE,TRUE,FALSE,"seal","U","Arterial","MINOR ARTERIAL","zz","zz","zz","zz","UH",2,6,10525,4,0,2,"seal","25/02/2008","R","2CHIP",9,4,35,TRUE,"2/01/1953",-21,-1,-1,-1,-1,0,0,"7/10/2023",61.7383912321794,"1/04/2024",3.04802295182479,4.28074590891237,"1/04/2024",0,0,0,1.84284085221589,0,0,0
126,"Burkes Creek Road",757000,20,765,1789,"All",1024,13312,TRUE,TRUE,FALSE,"seal","U","Primary Collector","MINOR ARTERIAL","zz","zz","zz","zz","UH",2,4,2527,4.9,0,2,"seal","21/01/2012","R","2CHIP",12,7,51,TRUE,"2/06/1981",7,-1,-1,-1,-1,0,0,"6/10/2023",94.6820646272238,"1/04/2024",2.79588862615692,8.65799107932158,"1/04/2024",6.10830133967102,0,0,0,11.7013506661169,0,0
127,"Riroriro Road",960000,29,122,139,"All",17,105,TRUE,TRUE,FALSE,"ac","U","Low Volume","LOCAL","zz","zz","zz","zz","UL",2,1,60,3,0,2,"ac","31/03/2012","R","AC",30,3,45,TRUE,"1/05/1964",-10,-1,-1,-1,-1,0,0,"1/04/2024",68.9155432366075,"1/04/2024",3.74322742735325,7.60156658797032,"1/04/2024",0,0,0,0,0,0,7.30596755445004
128,"Weston Way",803000,9339,1589,1999,"All",410,5453,TRUE,TRUE,FALSE,"seal","U","Arterial","MINOR ARTERIAL","zz","zz","zz","zz","UH",2,6,10543,4,0,2,"seal","25/02/2008","R","2CHIP",9,4,35,TRUE,"2/01/1953",-21,-1,-1,-1,-1,0,0,"7/10/2023",47.8580428616405,"1/04/2024",8.25762697969399,7.65929694384494,"1/04/2024",0,0,0,0,0,0,0
