elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053
29,15,Fendall Close,585,643,All,0,0,0.5,0.57,0.65,0.75,0.86,0.98,1.11,2.29,3.59,5.69,0,0,0,0,0,0.5,0.6,0.73,0.87,1.03,2.25,13.63,0,0,0,0,0,1,1.18
30,15,Fendall Close,643,736,All,0.6,1.85,3.34,5.81,0,0,0,0,1,1.23,2.01,2.42,12.9,0,0,0,0,1,1.27,2.1,2.57,13.22,0,0,0,0,1,1.81,2.29,2.86,13.72
31,15,Fendall Close,736,814,All,0.1,1.07,0,0,0,0,1,1.23,2,2.4,12.87,0,0,0,0,1,1.26,2.09,2.55,13.18,0,0,0,0,1,1.81,2.27,2.82,13.66,0,0
32,9339,Weston Way,814,886,All,0.1,1.08,2.14,3.31,4.58,0,0,0,0,0,1,1.79,2.23,0,0,0,0.5,0.84,1.43,2.43,4.21,0,0,0.5,0.96,1.97,3.96,7.63,13.82,0,0.5
33,9339,Weston Way,886,939,All,0,0.3,1.67,4,5.76,0,0,0,0.5,0.76,1.11,1.77,2.76,4.48,7,0,0.5,1.98,8.09,24.09,35.51,42.8,47.23,0,0.5,1.98,8.09,24.09,35.51,42.8,47.23
34,9339,Weston Way,965,1051,All,0,0.21,0.48,1.91,2.72,4.86,7.47,0,0,0.5,0.94,1.9,3.72,7.08,0,0.5,1.98,8.09,25.09,36.83,44.5,0,0.5,1.98,8.09,25.09,36.87,44.58,0,0.5,1.98
35,9339,Weston Way,1051,1219,All,0,1.12,0,0,0,0,1,1.26,2.07,2.53,13.13,0,0,0,0,1,1.8,2.25,2.78,13.58,0,0,0,0,1,1.85,2.37,3.08,14.12,0,0
36,9339,Weston Way,1237,1589,All,0.1,0,0,0,0,1,1.27,2.1,2.59,13.25,0,0,0,0,1,1.82,2.29,2.88,13.75,0,0,0,0,1,1.87,2.43,3.24,14.39,0,0,0
37,9339,Weston Way,1589,1999,All,0.1,0,0,0,0,1,1.27,2.1,2.59,13.25,0,0,0,0,1,1.82,2.29,2.88,13.76,0,0,0,0,1,1.87,2.43,3.24,14.39,0,0,0
38,9339,Weston Way,1999,2369,All,0.1,0,0,0,0,0,1,1.22,1.99,12.37,0,0,0,0,1,1.21,1.98,2.36,12.8,0,0,0,0,1,1.25,2.06,2.5,13.06,0,0,0
39,9339,Weston Way,2385,2696,All,0.55,2.55,0,0,0,0,0,0,1,1.21,1.46,2.26,2.67,13.22,0,0,0,0,0,0,1,1.25,2.05,2.48,3.03,13.79,0,0,0,0,0
40,9339,Weston Way,2696,3114,All,0.45,0,0,0,0,0,1,1.23,2,12.39,0,0,0,0,1,1.21,1.97,2.34,12.77,0,0,0,0,1,1.24,2.03,2.45,12.95,0,0,0
41,9339,Weston Way,3114,3398,All,0.1,1.49,2.61,0,0,0,0,0,0,1,1.18,1.4,2.16,2.52,12.93,0,0,0,0,0,0,1,1.21,1.47,2.27,2.69,13.25,0,0,0,0
42,9339,Weston Way,3398,3457,All,0,1.9,2.94,4.08,0,0,0,0,0,0,0.5,0.59,0.7,0.83,0.98,1.16,1.41,2.74,13.23,0,0,0,0,0,0,0,1,1.18,1.39,2.13,2.47
43,9339,Weston Way,3457,3675,All,0.05,0.55,0.64,3.74,4.73,5.79,0,0,0,0,0,0,0,0,0.5,0.59,0.7,0.83,0.97,1.14,1.38,2.68,13.13,0,0,0,0,0,0,0,0.5
44,9167,Foxglove Drive,0,668,All,0.2,0.2,0.2,0.2,0.2,0.2,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.56,0.63,0.72,0.8,0.9,12.01,0,0,0,0,0
45,16,Sarah Lane,0,515,All,0.9,2.85,3.95,5.18,0,0,0,0,0,0,0,0,1,1.19,1.42,1.68,2.48,2.91,13.5,0,0,0,0,0,0,0,0,1,1.24,1.52,2.35
46,17,Ash Drive,0,318,All,0.05,0.55,0.78,1.07,1.57,3.29,5.46,0,0,0,0,0,0,1,1.26,2.08,2.53,3.13,13.96,0,0,0,0,0,1,1.25,2.06,2.5,3.06,3.87,14.92
47,18,Monaghan Way,0,80,All,0,0,0,0.5,0.57,0.64,0.73,0.82,2.93,4.84,5.91,0,0,0,0,0,0,0,0,0,0,0,1,1.14,1.29,1.47,12.17,0,0,0,0
48,1035,Cousins Avenue East,0,61,All,0,0.95,1.97,3.09,4.31,5.64,0,0,0,0,0,0,0,0,0,0,0,0.5,0.59,0.7,0.82,0.96,1.12,1.35,1.65,2,12.43,0,0,0,0
49,19,Elm Close,0,82,All,1.2,1.39,1.61,1.87,2.16,3.55,5.78,0,0,0,0,0,0,0,0,0,1,1.19,1.41,1.67,2.46,2.88,13.44,0,0,0,0,0,0,0,0
50,19,Elm Close,82,101,All,0,0.11,0.24,1.39,3.66,4.85,6.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.56,0.62,10.69,0,0,0
51,20,Burkes Creek Road,0,21,All,0,1.21,3.21,4.39,5.72,0,0,0,0,0,1,1.21,1.97,2.33,13.73,0,0,0,0,0,1,1.75,2.11,12.52,0,0,0,0,1,1.23,2.01
52,20,Burkes Creek Road,21,520,All,0,1.22,3.22,4.4,0,0,0,0,0,1,1.21,1.97,2.32,13.73,0,0,0,0,0,1,1.75,2.1,12.52,0,0,0,0,1,1.23,2.01,2.42
53,20,Burkes Creek Road,549,697,All,1.1,2.2,3.42,0,0,0,0,0,1,1.19,1.93,2.25,12.62,0,0,0,0,0,1,1.23,1.99,12.37,0,0,0,0,1,1.21,1.97,2.34,12.78
54,20,Burkes Creek Road,697,765,All,0.1,0.6,0.75,1.93,2.23,3.65,5.97,0,0,0,0,0.5,0.64,0.82,1.03,1.35,1.81,2.41,4.25,15.55,0,0,0.5,0.83,1.38,2.43,4.39,7.59,0,0.5,1.98
55,20,Burkes Creek Road,765,1789,All,1.2,2.3,3.53,0,0,0,0,0,1,1.2,1.93,2.27,12.64,0,0,0,0,0,1,1.23,2,12.39,0,0,0,0,1,1.21,1.98,2.36,12.8
56,21,Tapeka Heights Lane,0,277,All,0,1.09,2.3,3.68,0,0,0,0,0,0,0,1,1.25,1.54,2.39,2.91,3.65,4.61,15.79,0,0,0,0,0,0,1,1.25,1.56,2.43,2.98,3.8
57,22,Sir John McKenzie Drive,0,530,All,0.7,0.89,3.12,4.23,0,0,0,0,0,0,0,0,0,1,1.19,1.42,1.68,2.47,2.9,13.47,0,0,0,0,0,0,0,0,1,1.2,1.44
58,23,Apple Orchard Lane,0,185,All,0.35,1.37,2.46,0,0,0,0,0,0,0,0.5,0.61,0.74,0.89,1.06,1.31,1.65,2.09,2.61,4.34,5.38,0,0,0,0,0,0,0,0.5,1.63,1.97
59,974,Railway Terrace East,0,730,All,0,0.06,0.13,0.22,0.31,2.41,4.32,5.37,0,0,0,0,0,0,0,0,0,0,0,1,1.12,1.26,1.42,3.1,13.43,0,0,0,0,0,0
60,24,George Noble Road,0,272,All,1.1,2.24,3.5,5.56,0,0,0,0,0,0,0,0,1,1.21,1.47,2.27,2.66,3.22,13.94,0,0,0,0,0,0,0,1,1.22,1.48,2.3,2.73
61,24,George Noble Road,272,286,All,0,0.13,0.3,0.5,0.76,1.17,1.71,2.41,3.46,4.85,9.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.56,0.62
62,25,Founders Lane,0,597,All,0,0,0,0,0.5,0.67,0.87,1.14,1.55,2.12,2.85,3.95,5.43,0,0.5,1.25,3.58,10.21,22.26,31.56,38.11,43.81,47.04,49.23,0,0,0,0,0,0,0
63,26,Stud Road,0,205,All,0,0.14,1.31,1.61,3,5.3,0,0,0,0,0,0,1,1.2,1.45,2.24,2.63,13.15,0,0,0,0,0,0,1,1.24,2.03,2.44,2.95,13.66,0
64,27,Gallop Lane,0,116,All,0,0.1,2.22,4.19,0,0,0,0,0,0,0,0,0,1,1.17,1.38,1.61,2.37,2.72,13.19,0,0,0,0,0,0,0,0,0,1,1.2
