elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053
11,9,Kowhai Glen,0,305,All,20.03_0.5_150.05,20.03_0.5_150.05,20.03_0.5_150.05,20.03_0.5_150.05,11.31_1_89.25,11.31_1_89.25,11.31_1_89.25,11.31_1_89.25,11.31_1_89.25,11.31_1_89.25,11.31_1_89.25,11.31_1_89.25,11.31_1_89.25,11.31_1_89.25,11.31_1_89.25,11.31_1_89.25,11.31_1_89.25,11.31_1_89.25,11.31_1_89.25,11.31_1_89.25,11.31_1_89.25,11.31_1_89.25,11.9_1_93.96,11.9_1_93.96,11.9_1_93.96,11.9_1_93.96,11.9_1_93.96,11.9_1_93.96,11.9_1_93.96,11.9_1_93.96,11.9_1_93.96
12,1037,Epiha Road Upper,0,415,All,10_1_78.82,10_1_78.82,10_1_78.82,10_1_78.82,6.63_1_90.41,6.63_1_90.41,6.63_1_90.41,6.63_1_90.41,6.63_1_90.41,6.63_1_90.41,6.63_1_90.41,6.63_1_90.41,6.63_1_90.41,6.63_1_90.41,5.89_1_80.34,5.89_1_80.34,5.89_1_80.34,5.89_1_80.34,5.89_1_80.34,5.89_1_80.34,5.89_1_80.34,5.89_1_80.34,5.89_1_80.34,5.25_1_71.54,5.25_1_71.54,5.25_1_71.54,5.25_1_71.54,5.25_1_71.54,5.25_1_71.54,5.25_1_71.54,5.25_1_71.54
13,1038,Gossey Drive North,1319,1723,All,10_1_78.56,10_1_78.56,10_1_78.56,10_1_78.56,6.61_1_90.15,6.61_1_90.15,6.61_1_90.15,6.61_1_90.15,6.61_1_90.15,6.61_1_90.15,6.61_1_90.15,6.61_1_90.15,6.61_1_90.15,6.61_1_90.15,5.87_1_80.03,5.87_1_80.03,5.87_1_80.03,5.87_1_80.03,5.87_1_80.03,5.87_1_80.03,5.87_1_80.03,5.87_1_80.03,5.87_1_80.03,5.22_1_71.19,5.22_1_71.19,5.22_1_71.19,5.22_1_71.19,5.22_1_71.19,5.22_1_71.19,5.22_1_71.19,5.22_1_71.19
14,10,Upper Ahu Ahu Road,0,46,All,1_2.9_94.03,5.65_1_47.4,5.65_1_47.4,5.65_1_47.4,5.65_1_47.4,5.65_1_47.4,5.65_1_47.4,5.65_1_47.4,5.65_1_47.4,5.65_1_47.4,5.65_1_47.4,5.65_1_47.4,5.65_1_47.4,5.65_1_47.4,5.65_1_47.4,12.86_1_101.55,12.86_1_101.55,12.86_1_101.55,12.86_1_101.55,12.86_1_101.55,12.86_1_101.55,12.86_1_101.55,12.86_1_101.55,12.86_1_101.55,12.86_1_101.55,12.86_1_101.55,12.86_1_101.55,12.86_1_101.55,12.86_1_101.55,12.86_1_101.55,12.86_1_101.55
15,10,Upper Ahu Ahu Road,46,68,All,9.48_1_94.31,9.48_1_94.31,9.48_1_94.31,9.48_1_94.31,9.48_1_94.31,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72,14.68_1_91.72,20_1_130.48,20_1_130.48,20_1_130.48,20_1_130.48,20_1_130.48
16,11,Lower Ahu Ahu Road,0,158,All,8_1_87.18,8_1_87.18,8_1_87.18,8_1_87.18,12.68_1_100.14,12.68_1_100.14,12.68_1_100.14,12.68_1_100.14,12.68_1_100.14,12.68_1_100.14,12.68_1_100.14,12.68_1_100.14,12.68_1_100.14,12.68_1_100.14,12.68_1_100.14,12.68_1_100.14,12.68_1_100.14,12.68_1_100.14,12.68_1_100.14,12.68_1_100.14,11.58_1_91.45,11.58_1_91.45,11.58_1_91.45,11.58_1_91.45,11.58_1_91.45,11.58_1_91.45,11.58_1_91.45,11.58_1_91.45,11.58_1_91.45,11.58_1_91.45,11.58_1_91.45
17,11,Lower Ahu Ahu Road,158,179,All,19_1_87.33,19_1_87.33,19_1_87.33,19_1_87.33,19_1_87.33,19_1_87.33,19_1_87.33,19_1_87.33,19_1_87.33,19_1_87.33,19_1_87.33,19_1_87.33,19_1_87.33,12.75_1_79.68,12.75_1_79.68,12.75_1_79.68,12.75_1_79.68,12.75_1_79.68,12.75_1_79.68,12.75_1_79.68,12.75_1_79.68,12.75_1_79.68,12.75_1_79.68,12.75_1_79.68,12.75_1_79.68,12.75_1_79.68,12.75_1_79.68,12.75_1_79.68,12.75_1_79.68,12.75_1_79.68,12.75_1_79.68
18,12,Kriletich Drive,0,263,All,35_1_68.29,35_1_68.29,35_1_68.29,8.54_1_67.45,8.54_1_67.45,8.54_1_67.45,8.54_1_67.45,8.54_1_67.45,8.54_1_67.45,8.54_1_67.45,8.54_1_67.45,8.54_1_67.45,8.54_1_67.45,8.54_1_67.45,8.54_1_67.45,8.54_1_67.45,8.54_1_67.45,8.54_1_67.45,9.46_1_74.67,9.46_1_74.67,9.46_1_74.67,9.46_1_74.67,9.46_1_74.67,9.46_1_74.67,9.46_1_74.67,9.46_1_74.67,9.46_1_74.67,9.46_1_74.67,9.46_1_74.67,8.64_1_68.18,8.64_1_68.18
19,917,Port Street East,0,21,All,19_1_98.31,19_1_98.31,19_1_98.31,19_1_98.31,19_1_98.31,19_1_98.31,13.72_1_108.32,13.72_1_108.32,13.72_1_108.32,13.72_1_108.32,13.72_1_108.32,13.72_1_108.32,13.72_1_108.32,13.72_1_108.32,13.72_1_108.32,13.72_1_108.32,13.72_1_108.32,13.72_1_108.32,13.72_1_108.32,13.72_1_108.32,13.72_1_108.32,13.72_1_108.32,13.72_1_108.32,12.41_1_98,12.41_1_98,12.41_1_98,12.41_1_98,12.41_1_98,12.41_1_98,12.41_1_98,12.41_1_98
20,917,Port Street East,21,396,All,7.87_1_98.31,7.87_1_98.31,7.87_1_98.31,7.87_1_98.31,7.87_1_98.31,7.87_1_98.31,7.87_1_98.31,7.87_1_98.31,7.87_1_98.31,7.87_1_98.31,7.87_1_98.31,7.87_1_98.31,7.87_1_98.31,13.19_1_104.16,13.19_1_104.16,13.19_1_104.16,13.19_1_104.16,13.19_1_104.16,13.19_1_104.16,13.19_1_104.16,13.19_1_104.16,13.19_1_104.16,13.19_1_104.16,13.19_1_104.16,13.19_1_104.16,13.19_1_104.16,13.19_1_104.16,13.19_1_104.16,13.19_1_104.16,13.19_1_104.16,4.66_1_139.73
21,917,Port Street East,396,874,All,19_1_98.18,19_1_98.18,14.02_1_110.65,14.02_1_110.65,14.02_1_110.65,14.02_1_110.65,14.02_1_110.65,14.02_1_110.65,14.02_1_110.65,14.02_1_110.65,14.02_1_110.65,14.02_1_110.65,14.02_1_110.65,14.02_1_110.65,14.02_1_110.65,14.02_1_110.65,14.02_1_110.65,14.02_1_110.65,14.02_1_110.65,12.73_1_100.49,12.73_1_100.49,12.73_1_100.49,12.73_1_100.49,12.73_1_100.49,12.73_1_100.49,12.73_1_100.49,12.73_1_100.49,12.73_1_100.49,12.73_1_100.49,12.73_1_100.49,12.73_1_100.49
22,917,Port Street East,874,1340,All,19.01_1_97.63,19.01_1_97.63,13.95_1_110.17,13.95_1_110.17,13.95_1_110.17,13.95_1_110.17,13.95_1_110.17,13.95_1_110.17,13.95_1_110.17,13.95_1_110.17,13.95_1_110.17,13.95_1_110.17,13.95_1_110.17,13.95_1_110.17,13.95_1_110.17,13.95_1_110.17,13.95_1_110.17,13.95_1_110.17,13.95_1_110.17,12.67_1_100,12.67_1_100,12.67_1_100,12.67_1_100,12.67_1_100,12.67_1_100,12.67_1_100,12.67_1_100,12.67_1_100,12.67_1_100,12.67_1_100,12.67_1_100
23,917,Port Street East,1340,1431,All,19_1_99.94,19_1_99.94,14.2_1_112.09,14.2_1_112.09,14.2_1_112.09,14.2_1_112.09,14.2_1_112.09,14.2_1_112.09,14.2_1_112.09,14.2_1_112.09,14.2_1_112.09,14.2_1_112.09,14.2_1_112.09,14.2_1_112.09,14.2_1_112.09,14.2_1_112.09,14.2_1_112.09,14.2_1_112.09,14.2_1_112.09,12.94_1_102.12,12.94_1_102.12,12.94_1_102.12,12.94_1_102.12,12.94_1_102.12,12.94_1_102.12,12.94_1_102.12,12.94_1_102.12,12.94_1_102.12,12.94_1_102.12,12.94_1_102.12,12.94_1_102.12
24,917,Port Street East,1431,2115,All,16_1_104.24,16_1_104.24,16_1_104.24,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,13.52_1_106.73,13.52_1_106.73,13.52_1_106.73,13.52_1_106.73,13.52_1_106.73,13.52_1_106.73,13.52_1_106.73,13.52_1_106.73,13.52_1_106.73,13.52_1_106.73,13.52_1_106.73
25,917,Port Street East,2120,2350,All,16_1_104.27,16_1_104.27,16_1_104.27,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,14.6_1_115.26,13.52_1_106.73,13.52_1_106.73,13.52_1_106.73,13.52_1_106.73,13.52_1_106.73,13.52_1_106.73,13.52_1_106.73,13.52_1_106.73,13.52_1_106.73,13.52_1_106.73,13.52_1_106.73
26,13,Puriri Dale Way,0,293,All,18_1_66.71,18_1_66.71,10.36_1_81.81,10.36_1_81.81,10.36_1_81.81,10.36_1_81.81,10.36_1_81.81,10.36_1_81.81,10.36_1_81.81,10.36_1_81.81,10.36_1_81.81,10.36_1_81.81,10.36_1_81.81,10.36_1_81.81,10.36_1_81.81,10.36_1_81.81,10.36_1_81.81,9.3_1_73.39,9.3_1_73.39,9.3_1_73.39,9.3_1_73.39,9.3_1_73.39,9.3_1_73.39,9.3_1_73.39,9.3_1_73.39,9.3_1_73.39,9.3_1_73.39,9.3_1_73.39,9.3_1_73.39,9.3_1_73.39,9.3_1_73.39
27,15,Fendall Close,0,438,All,11.03_1_70.42,11.03_1_70.42,11.03_1_70.42,6.17_1_84.17,6.17_1_84.17,6.17_1_84.17,6.17_1_84.17,6.17_1_84.17,6.17_1_84.17,6.17_1_84.17,6.17_1_84.17,6.17_1_84.17,5.65_1_77.06,5.65_1_77.06,5.65_1_77.06,5.65_1_77.06,5.65_1_77.06,5.65_1_77.06,5.65_1_77.06,5.65_1_77.06,5.65_1_77.06,5.14_1_70.04,5.14_1_70.04,5.14_1_70.04,5.14_1_70.04,5.14_1_70.04,5.14_1_70.04,5.14_1_70.04,5.14_1_70.04,5.14_1_70.04,4.63_1_63.19
28,15,Fendall Close,438,585,All,7.55_1_113.25,7.55_1_113.25,7.55_1_113.25,7.55_1_113.25,8.74_1_119.18,8.74_1_119.18,8.74_1_119.18,8.74_1_119.18,8.74_1_119.18,8.74_1_119.18,8.74_1_119.18,8.74_1_119.18,8.74_1_119.18,8.74_1_119.18,7.94_1_108.24,7.94_1_108.24,7.94_1_108.24,7.94_1_108.24,7.94_1_108.24,7.94_1_108.24,7.94_1_108.24,7.94_1_108.24,7.94_1_108.24,7.94_1_108.24,7.16_1_97.62,7.16_1_97.62,7.16_1_97.62,7.16_1_97.62,7.16_1_97.62,7.16_1_97.62,7.16_1_97.62
29,15,Fendall Close,585,643,All,13.59_1_113.27,13.59_1_113.27,13.59_1_113.27,13.59_1_113.27,13.59_1_113.27,13.59_1_113.27,13.59_1_113.27,13.59_1_113.27,13.59_1_113.27,13.59_1_113.27,13.59_1_113.27,13.59_1_113.27,7.09_1_96.67,7.09_1_96.67,7.09_1_96.67,7.09_1_96.67,7.09_1_96.67,7.09_1_96.67,7.09_1_96.67,7.09_1_96.67,7.09_1_96.67,7.09_1_96.67,7.09_1_96.67,7.09_1_96.67,7.16_1_97.62,7.16_1_97.62,7.16_1_97.62,7.16_1_97.62,7.16_1_97.62,7.16_1_97.62,7.16_1_97.62
30,15,Fendall Close,643,736,All,3.52_1_58.85,3.52_1_58.85,3.52_1_58.85,3.52_1_58.85,5.28_1_71.97,5.28_1_71.97,5.28_1_71.97,5.28_1_71.97,5.28_1_71.97,5.28_1_71.97,5.28_1_71.97,5.28_1_71.97,5.28_1_71.97,4.69_1_63.97,4.69_1_63.97,4.69_1_63.97,4.69_1_63.97,4.69_1_63.97,4.69_1_63.97,4.69_1_63.97,4.69_1_63.97,4.69_1_63.97,4.13_1_56.35,4.13_1_56.35,4.13_1_56.35,4.13_1_56.35,4.13_1_56.35,4.13_1_56.35,4.13_1_56.35,4.13_1_56.35,4.13_1_56.35
31,15,Fendall Close,736,814,All,22_1_58.88,22_1_58.88,5.36_1_73.05,5.36_1_73.05,5.36_1_73.05,5.36_1_73.05,5.36_1_73.05,5.36_1_73.05,5.36_1_73.05,5.36_1_73.05,5.36_1_73.05,4.76_1_64.92,4.76_1_64.92,4.76_1_64.92,4.76_1_64.92,4.76_1_64.92,4.76_1_64.92,4.76_1_64.92,4.76_1_64.92,4.76_1_64.92,4.19_1_57.18,4.19_1_57.18,4.19_1_57.18,4.19_1_57.18,4.19_1_57.18,4.19_1_57.18,4.19_1_57.18,4.19_1_57.18,4.19_1_57.18,3.66_1_49.91,3.66_1_49.91
32,9339,Weston Way,814,886,All,13.47_1_52,13.47_1_52,13.47_1_52,13.47_1_52,13.47_1_52,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10,1_1_10
