elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
16,11,Lower Ahu Ahu Road,0,158,All,9.94_0.1_135.57,9.94_0.1_135.57,9.94_0.1_135.57,9.94_0.1_135.57,9.94_0.1_135.57,9.94_0.1_135.57,9.94_0.1_135.57,9.94_0.1_135.57,9.94_0.1_135.57,9.94_0.1_135.57,9.94_0.1_135.57,9.94_0.1_135.57,9.94_0.1_135.57,9.94_0.1_135.57,9.94_0.1_135.57,9.94_0.1_135.57
17,11,Lower Ahu Ahu Road,158,179,All,19_0.1_135.67,19_0.1_135.67,19_0.1_135.67,19_0.1_135.67,19_0.1_135.67,19_0.1_135.67,19_0.1_135.67,19_0.1_135.67,19_0.1_135.67,19_0.1_135.67,19_0.1_135.67,19_0.1_135.67,19_0.1_135.67,19_0.1_135.67,19_0.1_135.67,19_0.1_135.67
18,12,Kriletich Drive,0,263,All,35_0.1_133.93,35_0.1_133.93,35_0.1_133.93,35_0.1_133.93,35_0.1_133.93,35_0.1_133.93,35_0.1_133.93,35_0.1_133.93,35_0.1_133.93,35_0.1_133.93,35_0.1_133.93,35_0.1_133.93,35_0.1_133.93,35_0.1_133.93,35_0.1_133.93,35_0.1_133.93
19,917,Port Street East,0,21,All,19_0.1_139.76,19_0.1_139.76,19_0.1_139.76,19_0.1_139.76,19_0.1_139.76,19_0.1_139.76,19_0.1_139.76,19_0.1_139.76,19_0.1_139.76,19_0.1_139.76,19_0.1_139.76,19_0.1_139.76,19_0.1_139.76,19_0.1_139.76,19_0.1_139.76,19_0.1_139.76
20,917,Port Street East,21,396,All,11.18_0.1_139.76,11.18_0.1_139.76,11.18_0.1_139.76,11.18_0.1_139.76,11.18_0.1_139.76,11.18_0.1_139.76,11.18_0.1_139.76,11.18_0.1_139.76,11.18_0.1_139.76,11.18_0.1_139.76,11.18_0.1_139.76,11.18_0.1_139.76,11.18_0.1_139.76,11.18_0.1_139.76,11.18_0.1_139.76,11.18_0.1_139.76
21,917,Port Street East,396,874,All,19_0.1_139.69,19_0.1_139.69,19_0.1_139.69,19_0.1_139.69,19_0.1_139.69,19_0.1_139.69,19_0.1_139.69,19_0.1_139.69,19_0.1_139.69,19_0.1_139.69,19_0.1_139.69,19_0.1_139.69,19_0.1_139.69,19_0.1_139.69,19_0.1_139.69,19_0.1_139.69
22,917,Port Street East,874,1340,All,14.28_0.1_139.65,14.28_0.1_139.65,14.28_0.1_139.65,14.28_0.1_139.65,14.28_0.1_139.65,14.28_0.1_139.65,14.28_0.1_139.65,14.28_0.1_139.65,14.28_0.1_139.65,14.28_0.1_139.65,14.28_0.1_139.65,14.28_0.1_139.65,14.28_0.1_139.65,14.28_0.1_139.65,14.28_0.1_139.65,14.28_0.1_139.65
23,917,Port Street East,1340,1431,All,19_0.1_139.84,19_0.1_139.84,19_0.1_139.84,19_0.1_139.84,19_0.1_139.84,19_0.1_139.84,19_0.1_139.84,19_0.1_139.84,19_0.1_139.84,19_0.1_139.84,19_0.1_139.84,19_0.1_139.84,19_0.1_139.84,19_0.1_139.84,19_0.1_139.84,19_0.1_139.84
24,917,Port Street East,1431,2115,All,16.82_0.1_140.19,16.82_0.1_140.19,16.82_0.1_140.19,16.82_0.1_140.19,16.82_0.1_140.19,16.82_0.1_140.19,16.82_0.1_140.19,16.82_0.1_140.19,16.82_0.1_140.19,16.82_0.1_140.19,16.82_0.1_140.19,16.82_0.1_140.19,16.82_0.1_140.19,16.82_0.1_140.19,16.82_0.1_140.19,16.82_0.1_140.19
25,917,Port Street East,2120,2350,All,16.82_0.1_140.2,16.82_0.1_140.2,16.82_0.1_140.2,16.82_0.1_140.2,16.82_0.1_140.2,16.82_0.1_140.2,16.82_0.1_140.2,16.82_0.1_140.2,16.82_0.1_140.2,16.82_0.1_140.2,16.82_0.1_140.2,16.82_0.1_140.2,16.82_0.1_140.2,16.82_0.1_140.2,16.82_0.1_140.2,16.82_0.1_140.2
26,13,Puriri Dale Way,0,293,All,18_0.1_133.67,18_0.1_133.67,18_0.1_133.67,18_0.1_133.67,18_0.1_133.67,18_0.1_133.67,18_0.1_133.67,18_0.1_133.67,18_0.1_133.67,18_0.1_133.67,18_0.1_133.67,18_0.1_133.67,18_0.1_133.67,18_0.1_133.67,18_0.1_133.67,18_0.1_133.67
27,15,Fendall Close,0,438,All,10.77_0.1_134.06,10.77_0.1_134.06,10.77_0.1_134.06,10.77_0.1_134.06,10.77_0.1_134.06,10.77_0.1_134.06,10.77_0.1_134.06,10.77_0.1_134.06,10.77_0.1_134.06,10.77_0.1_134.06,10.77_0.1_134.06,10.77_0.1_134.06,10.77_0.1_134.06,10.77_0.1_134.06,10.77_0.1_134.06,10.77_0.1_134.06
28,15,Fendall Close,438,585,All,9.2_0.1_138.02,9.2_0.1_138.02,9.2_0.1_138.02,9.2_0.1_138.02,9.2_0.1_138.02,9.2_0.1_138.02,9.2_0.1_138.02,9.2_0.1_138.02,9.2_0.1_138.02,9.2_0.1_138.02,9.2_0.1_138.02,9.2_0.1_138.02,9.2_0.1_138.02,9.2_0.1_138.02,9.2_0.1_138.02,9.2_0.1_138.02
29,15,Fendall Close,585,643,All,16.57_0.1_138.05,16.57_0.1_138.05,16.57_0.1_138.05,16.57_0.1_138.05,16.57_0.1_138.05,16.57_0.1_138.05,16.57_0.1_138.05,16.57_0.1_138.05,16.57_0.1_138.05,16.57_0.1_138.05,16.57_0.1_138.05,16.57_0.1_138.05,16.57_0.1_138.05,16.57_0.1_138.05,16.57_0.1_138.05,16.57_0.1_138.05
30,15,Fendall Close,643,736,All,8.82_0.1_132.33,8.82_0.1_132.33,8.82_0.1_132.33,8.82_0.1_132.33,8.82_0.1_132.33,8.82_0.1_132.33,8.82_0.1_132.33,8.82_0.1_132.33,8.82_0.1_132.33,8.82_0.1_132.33,8.82_0.1_132.33,8.82_0.1_132.33,8.82_0.1_132.33,8.82_0.1_132.33,8.82_0.1_132.33,8.82_0.1_132.33
31,15,Fendall Close,736,814,All,22_0.1_132.54,22_0.1_132.54,22_0.1_132.54,22_0.1_132.54,22_0.1_132.54,22_0.1_132.54,22_0.1_132.54,22_0.1_132.54,22_0.1_132.54,22_0.1_132.54,22_0.1_132.54,22_0.1_132.54,22_0.1_132.54,22_0.1_132.54,22_0.1_132.54,22_0.1_132.54
32,9339,Weston Way,814,886,All,22_0.1_130.27,22_0.1_130.27,22_0.1_130.27,22_0.1_130.27,22_0.1_130.27,22_0.1_130.27,22_0.1_130.27,22_0.1_130.27,22_0.1_130.27,22_0.1_130.27,22_0.1_130.27,22_0.1_130.27,22_0.1_130.27,22_0.1_130.27,22_0.1_130.27,22_0.1_130.27
33,9339,Weston Way,886,939,All,12.34_0.1_132.25,12.34_0.1_132.25,12.34_0.1_132.25,12.34_0.1_132.25,12.34_0.1_132.25,12.34_0.1_132.25,12.34_0.1_132.25,12.34_0.1_132.25,12.34_0.1_132.25,12.34_0.1_132.25,12.34_0.1_132.25,12.34_0.1_132.25,12.34_0.1_132.25,12.34_0.1_132.25,12.34_0.1_132.25,12.34_0.1_132.25
34,9339,Weston Way,965,1051,All,15.87_0.1_132.25,15.87_0.1_132.25,15.87_0.1_132.25,15.87_0.1_132.25,15.87_0.1_132.25,15.87_0.1_132.25,15.87_0.1_132.25,15.87_0.1_132.25,15.87_0.1_132.25,15.87_0.1_132.25,15.87_0.1_132.25,15.87_0.1_132.25,15.87_0.1_132.25,15.87_0.1_132.25,15.87_0.1_132.25,15.87_0.1_132.25
35,9339,Weston Way,1051,1219,All,16_0.1_132.25,16_0.1_132.25,16_0.1_132.25,16_0.1_132.25,16_0.1_132.25,16_0.1_132.25,16_0.1_132.25,16_0.1_132.25,16_0.1_132.25,16_0.1_132.25,16_0.1_132.25,16_0.1_132.25,16_0.1_132.25,16_0.1_132.25,16_0.1_132.25,16_0.1_132.25
36,9339,Weston Way,1237,1589,All,12.03_0.1_130.57,12.03_0.1_130.57,12.03_0.1_130.57,12.03_0.1_130.57,12.03_0.1_130.57,12.03_0.1_130.57,12.03_0.1_130.57,12.03_0.1_130.57,12.03_0.1_130.57,12.03_0.1_130.57,12.03_0.1_130.57,12.03_0.1_130.57,12.03_0.1_130.57,12.03_0.1_130.57,12.03_0.1_130.57,12.03_0.1_130.57
37,9339,Weston Way,1589,1999,All,12.03_0.1_130.56,12.03_0.1_130.56,12.03_0.1_130.56,12.03_0.1_130.56,12.03_0.1_130.56,12.03_0.1_130.56,12.03_0.1_130.56,12.03_0.1_130.56,12.03_0.1_130.56,12.03_0.1_130.56,12.03_0.1_130.56,12.03_0.1_130.56,12.03_0.1_130.56,12.03_0.1_130.56,12.03_0.1_130.56,12.03_0.1_130.56
38,9339,Weston Way,1999,2369,All,12.02_0.1_132.85,12.02_0.1_132.85,12.02_0.1_132.85,12.02_0.1_132.85,12.02_0.1_132.85,12.02_0.1_132.85,12.02_0.1_132.85,12.02_0.1_132.85,12.02_0.1_132.85,12.02_0.1_132.85,12.02_0.1_132.85,12.02_0.1_132.85,12.02_0.1_132.85,12.02_0.1_132.85,12.02_0.1_132.85,12.02_0.1_132.85
39,9339,Weston Way,2385,2696,All,16_0.1_133.76,16_0.1_133.76,16_0.1_133.76,16_0.1_133.76,16_0.1_133.76,16_0.1_133.76,16_0.1_133.76,16_0.1_133.76,16_0.1_133.76,16_0.1_133.76,16_0.1_133.76,16_0.1_133.76,16_0.1_133.76,16_0.1_133.76,16_0.1_133.76,16_0.1_133.76
40,9339,Weston Way,2696,3114,All,16_0.1_133.76,16_0.1_133.76,16_0.1_133.76,16_0.1_133.76,16_0.1_133.76,16_0.1_133.76,16_0.1_133.76,16_0.1_133.76,16_0.1_133.76,16_0.1_133.76,16_0.1_133.76,16_0.1_133.76,16_0.1_133.76,16_0.1_133.76,16_0.1_133.76,16_0.1_133.76
41,9339,Weston Way,3114,3398,All,16_0.1_134.56,16_0.1_134.56,16_0.1_134.56,16_0.1_134.56,16_0.1_134.56,16_0.1_134.56,16_0.1_134.56,16_0.1_134.56,16_0.1_134.56,16_0.1_134.56,16_0.1_134.56,16_0.1_134.56,16_0.1_134.56,16_0.1_134.56,16_0.1_134.56,16_0.1_134.56
42,9339,Weston Way,3398,3457,All,19_0.1_136.48,19_0.1_136.48,19_0.1_136.48,19_0.1_136.48,19_0.1_136.48,19_0.1_136.48,19_0.1_136.48,19_0.1_136.48,19_0.1_136.48,19_0.1_136.48,19_0.1_136.48,19_0.1_136.48,19_0.1_136.48,19_0.1_136.48,19_0.1_136.48,19_0.1_136.48
43,9339,Weston Way,3457,3675,All,19_0.1_137.56,19_0.1_137.56,19_0.1_137.56,19_0.1_137.56,19_0.1_137.56,19_0.1_137.56,19_0.1_137.56,19_0.1_137.56,19_0.1_137.56,19_0.1_137.56,19_0.1_137.56,19_0.1_137.56,19_0.1_137.56,19_0.1_137.56,19_0.1_137.56,19_0.1_137.56
