elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053
10,8,Tarras Road,86,120,All,19_0.1_136.45,19_0.1_136.45,19_0.1_136.45,19_0.1_136.45,19_0.1_136.45,19_0.1_136.45,19_0.1_136.45,19_0.1_136.45,19_0.1_136.45,20_1_140.01,20_1_140.01,20_1_140.01,20_1_140.01,20_1_140.01,20_1_140.01,20_1_140.01,20_1_140.01,20_1_140.01,20_1_140.01,20_1_140.01,20_1_140.01,20_1_140.01,20_1_140.01,20_1_140.01,20_1_140.01,20_1_140.01,20_1_140.01,20_1_140.01,20_1_140.01,20_1_140.01,20_1_140.01
11,9,Kowhai Glen,0,305,All,34_0.1_136.04,34_0.1_136.04,34_0.1_136.04,34_0.1_136.04,17.21_1_135.84,17.21_1_135.84,17.21_1_135.84,17.21_1_135.84,17.21_1_135.84,17.21_1_135.84,17.21_1_135.84,17.21_1_135.84,17.21_1_135.84,17.21_1_135.84,17.21_1_135.84,17.21_1_135.84,17.21_1_135.84,17.21_1_135.84,17.21_1_135.84,17.21_1_135.84,17.21_1_135.84,17.21_1_135.84,14.03_1_110.73,14.03_1_110.73,14.03_1_110.73,14.03_1_110.73,14.03_1_110.73,14.03_1_110.73,14.03_1_110.73,14.03_1_110.73,14.03_1_110.73
12,1037,Epiha Road Upper,0,415,All,10.79_0.1_134.91,10.79_0.1_134.91,10.79_0.1_134.91,10.79_0.1_134.91,8.07_1_110,8.07_1_110,8.07_1_110,8.07_1_110,8.07_1_110,8.07_1_110,8.07_1_110,8.07_1_110,8.07_1_110,8.07_1_110,7.92_1_107.96,7.92_1_107.96,7.92_1_107.96,7.92_1_107.96,7.92_1_107.96,7.92_1_107.96,7.92_1_107.96,7.92_1_107.96,7.92_1_107.96,7.79_1_106.16,7.79_1_106.16,7.79_1_106.16,7.79_1_106.16,7.79_1_106.16,7.79_1_106.16,7.79_1_106.16,7.79_1_106.16
13,1038,Gossey Drive North,1319,1723,All,10.79_0.1_134.89,10.79_0.1_134.89,10.79_0.1_134.89,10.79_0.1_134.89,8.06_1_109.95,8.06_1_109.95,8.06_1_109.95,8.06_1_109.95,8.06_1_109.95,8.06_1_109.95,8.06_1_109.95,8.06_1_109.95,8.06_1_109.95,8.06_1_109.95,7.91_1_107.9,7.91_1_107.9,7.91_1_107.9,7.91_1_107.9,7.91_1_107.9,7.91_1_107.9,7.91_1_107.9,7.91_1_107.9,7.91_1_107.9,7.78_1_106.09,7.78_1_106.09,7.78_1_106.09,7.78_1_106.09,7.78_1_106.09,7.78_1_106.09,7.78_1_106.09,7.78_1_106.09
14,10,Upper Ahu Ahu Road,0,46,All,17_0.1_133.67,14.41_1_113.73,14.41_1_113.73,14.41_1_113.73,14.41_1_113.73,14.41_1_113.73,14.41_1_113.73,14.41_1_113.73,14.41_1_113.73,14.41_1_113.73,14.41_1_113.73,14.41_1_113.73,14.41_1_113.73,14.41_1_113.73,14.41_1_113.73,14.23_1_112.33,14.23_1_112.33,14.23_1_112.33,14.23_1_112.33,14.23_1_112.33,14.23_1_112.33,14.23_1_112.33,14.23_1_112.33,14.23_1_112.33,14.23_1_112.33,14.23_1_112.33,14.23_1_112.33,14.23_1_112.33,14.23_1_112.33,14.23_1_112.33,14.23_1_112.33
15,10,Upper Ahu Ahu Road,46,68,All,13.6_0.1_135.96,13.6_0.1_135.96,13.6_0.1_135.96,13.6_0.1_135.96,13.6_0.1_135.96,20_1_136.06,20_1_136.06,20_1_136.06,20_1_136.06,20_1_136.06,20_1_136.06,20_1_136.06,20_1_136.06,20_1_136.06,20_1_136.06,20_1_136.06,20_1_136.06,20_1_136.06,20_1_136.06,20_1_136.06,20_1_136.06,20_1_136.06,20_1_136.06,20_1_136.06,20_1_136.06,20_1_136.06,20_1_140.01,20_1_140.01,20_1_140.01,20_1_140.01,20_1_140.01
16,11,Lower Ahu Ahu Road,0,158,All,9.94_0.1_135.57,9.94_0.1_135.57,9.94_0.1_135.57,9.94_0.1_135.57,14.19_1_112.03,14.19_1_112.03,14.19_1_112.03,14.19_1_112.03,14.19_1_112.03,14.19_1_112.03,14.19_1_112.03,14.19_1_112.03,14.19_1_112.03,14.19_1_112.03,14.19_1_112.03,14.19_1_112.03,14.19_1_112.03,14.19_1_112.03,14.19_1_112.03,14.19_1_112.03,13.96_1_110.22,13.96_1_110.22,13.96_1_110.22,13.96_1_110.22,13.96_1_110.22,13.96_1_110.22,13.96_1_110.22,13.96_1_110.22,13.96_1_110.22,13.96_1_110.22,13.96_1_110.22
17,11,Lower Ahu Ahu Road,158,179,All,19_0.1_135.67,19_0.1_135.67,19_0.1_135.67,19_0.1_135.67,19_0.1_135.67,19_0.1_135.67,19_0.1_135.67,19_0.1_135.67,19_0.1_135.67,19_0.1_135.67,19_0.1_135.67,19_0.1_135.67,19_0.1_135.67,20_1_134.99,20_1_134.99,20_1_134.99,20_1_134.99,20_1_134.99,20_1_134.99,20_1_134.99,20_1_134.99,20_1_134.99,20_1_134.99,20_1_134.99,20_1_134.99,20_1_134.99,20_1_134.99,20_1_134.99,20_1_134.99,20_1_134.99,20_1_134.99
18,12,Kriletich Drive,0,263,All,35_0.1_133.93,35_0.1_133.93,35_0.1_133.93,16.95_1_133.85,16.95_1_133.85,16.95_1_133.85,16.95_1_133.85,16.95_1_133.85,16.95_1_133.85,16.95_1_133.85,16.95_1_133.85,16.95_1_133.85,16.95_1_133.85,16.95_1_133.85,16.95_1_133.85,16.95_1_133.85,16.95_1_133.85,16.95_1_133.85,13.53_1_106.81,13.53_1_106.81,13.53_1_106.81,13.53_1_106.81,13.53_1_106.81,13.53_1_106.81,13.53_1_106.81,13.53_1_106.81,13.53_1_106.81,13.53_1_106.81,13.53_1_106.81,13.36_1_105.46,13.36_1_105.46
19,917,Port Street East,0,21,All,19_0.1_139.76,19_0.1_139.76,19_0.1_139.76,19_0.1_139.76,19_0.1_139.76,19_0.1_139.76,15.35_1_121.18,15.35_1_121.18,15.35_1_121.18,15.35_1_121.18,15.35_1_121.18,15.35_1_121.18,15.35_1_121.18,15.35_1_121.18,15.35_1_121.18,15.35_1_121.18,15.35_1_121.18,15.35_1_121.18,15.35_1_121.18,15.35_1_121.18,15.35_1_121.18,15.35_1_121.18,15.35_1_121.18,15.11_1_119.27,15.11_1_119.27,15.11_1_119.27,15.11_1_119.27,15.11_1_119.27,15.11_1_119.27,15.11_1_119.27,15.11_1_119.27
20,917,Port Street East,21,396,All,11.18_0.1_139.76,11.18_0.1_139.76,11.18_0.1_139.76,11.18_0.1_139.76,11.18_0.1_139.76,11.18_0.1_139.76,11.18_0.1_139.76,11.18_0.1_139.76,11.18_0.1_139.76,11.18_0.1_139.76,11.18_0.1_139.76,11.18_0.1_139.76,11.18_0.1_139.76,15.25_1_120.39,15.25_1_120.39,15.25_1_120.39,15.25_1_120.39,15.25_1_120.39,15.25_1_120.39,15.25_1_120.39,15.25_1_120.39,15.25_1_120.39,15.25_1_120.39,15.25_1_120.39,15.25_1_120.39,15.25_1_120.39,15.25_1_120.39,15.25_1_120.39,15.25_1_120.39,15.25_1_120.39,4.32_1_129.62
21,917,Port Street East,396,874,All,19_0.1_139.69,19_0.1_139.69,15.41_1_121.64,15.41_1_121.64,15.41_1_121.64,15.41_1_121.64,15.41_1_121.64,15.41_1_121.64,15.41_1_121.64,15.41_1_121.64,15.41_1_121.64,15.41_1_121.64,15.41_1_121.64,15.41_1_121.64,15.41_1_121.64,15.41_1_121.64,15.41_1_121.64,15.41_1_121.64,15.41_1_121.64,15.16_1_119.72,15.16_1_119.72,15.16_1_119.72,15.16_1_119.72,15.16_1_119.72,15.16_1_119.72,15.16_1_119.72,15.16_1_119.72,15.16_1_119.72,15.16_1_119.72,15.16_1_119.72,15.16_1_119.72
22,917,Port Street East,874,1340,All,14.28_0.1_139.65,14.28_0.1_139.65,15.4_1_121.54,15.4_1_121.54,15.4_1_121.54,15.4_1_121.54,15.4_1_121.54,15.4_1_121.54,15.4_1_121.54,15.4_1_121.54,15.4_1_121.54,15.4_1_121.54,15.4_1_121.54,15.4_1_121.54,15.4_1_121.54,15.4_1_121.54,15.4_1_121.54,15.4_1_121.54,15.4_1_121.54,15.15_1_119.63,15.15_1_119.63,15.15_1_119.63,15.15_1_119.63,15.15_1_119.63,15.15_1_119.63,15.15_1_119.63,15.15_1_119.63,15.15_1_119.63,15.15_1_119.63,15.15_1_119.63,15.15_1_119.63
23,917,Port Street East,1340,1431,All,19_0.1_139.84,19_0.1_139.84,15.44_1_121.92,15.44_1_121.92,15.44_1_121.92,15.44_1_121.92,15.44_1_121.92,15.44_1_121.92,15.44_1_121.92,15.44_1_121.92,15.44_1_121.92,15.44_1_121.92,15.44_1_121.92,15.44_1_121.92,15.44_1_121.92,15.44_1_121.92,15.44_1_121.92,15.44_1_121.92,15.44_1_121.92,15.2_1_120.01,15.2_1_120.01,15.2_1_120.01,15.2_1_120.01,15.2_1_120.01,15.2_1_120.01,15.2_1_120.01,15.2_1_120.01,15.2_1_120.01,15.2_1_120.01,15.2_1_120.01,15.2_1_120.01
