file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,elem_index,treatment,treat_category,budget_category,period,period_calendar,forced,follow_up,treatment_cost,treatment_qty,treatment_comment,treatment_reason,is_committed
10,Upper Ahu Ahu Road,0,46,All,14,ChipSeal_P,Preserve,Mono,1,2024,True,False,3680,368,committed import,committed,True
32,Karearea Lane,84,154,All,74,ChipSeal_P,Preserve,Mono,1,2024,True,False,7920,792,committed import,committed,True
32,Karearea Lane,154,820,All,75,ChipSeal_P,Preserve,Mono,1,2024,True,False,77210,7721,committed import,committed,True
9339,Weston Way,1589,1999,All,37,ChipSeal_P,Preserve,Mono,1,2024,False,False,54530,5453,mesh_cracks =0.3; shove =2.5; poth =0.01,pdi =2.9; sdi =0.1; age =16,False
1,Conifer Close,0,378,All,132,ChipSeal_P,Preserve,Mono,1,2024,False,False,37800,3780,mesh_cracks =2.33; shove =4.42; poth =0.81,pdi =14.86; sdi =8.11; age =10,False
9339,Weston Way,1237,1589,All,231,ChipSeal_P,Preserve,Mono,1,2024,False,False,45420,4542,mesh_cracks =0; shove =0; poth =0,pdi =0; sdi =7.41; age =16,False
29,Riroriro Road,0,122,All,162,ChipSeal_P,Preserve,Mono,1,2024,False,False,7560,756,mesh_cracks =0; shove =0; poth =0,pdi =0; sdi =26.82; age =8,False
39,Ashlar Court,0,251,All,492,ChipSeal_P,Preserve,Mono,1,2024,False,False,21080,2108,mesh_cracks =0; shove =0; poth =0.04,pdi =0.41; sdi =33.87; age =23,False
20,Burkes Creek Road,549,697,All,262,ChipSeal_P,Preserve,Mono,1,2024,False,False,19240,1924,mesh_cracks =12.36; shove =0; poth =0,pdi =12.59; sdi =0.57; age =12,False
1013,Brook Street North,0,220,All,394,ChipSeal_P,Preserve,Mono,1,2024,False,False,16640,1664,mesh_cracks =0; shove =0; poth =0,pdi =0; sdi =10.85; age =20,False
917,Port Street East,396,874,All,434,ChipSeal_P,Preserve,Mono,1,2024,False,False,29480,2948,mesh_cracks =0; shove =0; poth =0.49,pdi =4.93; sdi =4.93; age =19,False
1092,Bronte Road East,0,156,All,468,ChipSeal_P,Preserve,Mono,1,2024,False,False,12480,1248,mesh_cracks =0; shove =0; poth =0,pdi =0; sdi =28.1; age =20,False
9339,Weston Way,1237,1589,All,125,ChipSeal_P,Preserve,Mono,1,2024,False,False,45420,4542,mesh_cracks =0; shove =0; poth =0,pdi =0; sdi =1.84; age =16,False
15,Fendall Close,0,438,All,363,ChipSeal_P,Preserve,Mono,1,2024,False,False,54800,5480,mesh_cracks =0; shove =0; poth =0,pdi =6.24; sdi =41.76; age =11,False
9339,Weston Way,2385,2696,All,388,ChipSeal_P,Preserve,Mono,1,2024,False,False,39190,3919,mesh_cracks =1.25; shove =0; poth =0,pdi =9.21; sdi =40.89; age =16,False
16,Sarah Lane,0,515,All,174,ChipSeal_P,Preserve,Mono,1,2024,False,False,46020,4602,mesh_cracks =0; shove =0; poth =0.96,pdi =10.97; sdi =18.92; age =16,False
