elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053
23,917,Port Street East,1340,1431,All,0,0.1,0.2,0.3,0.5,0.6,0.8,1,1.2,1.4,1.7,2.1,2.5,2.9,3.5,4,4.7,5.5,6.5,7.6,8.8,10.1,11.6,13.3,15.2,17.3,19.6,22.1,24.9,27.9,31.1
24,917,Port Street East,1431,2115,All,0,0.1,0.2,0.3,0.5,0.6,0.8,0.9,1.1,1.3,1.6,1.9,2.3,2.7,3.2,3.7,4.2,4.9,5.7,6.7,7.7,8.9,10.2,11.7,13.3,15.1,17.1,19.3,21.7,24.3,27.1
25,917,Port Street East,2120,2350,All,0,0.1,0.2,0.3,0.5,0.6,0.8,0.9,1.1,1.3,1.6,1.9,2.3,2.7,3.2,3.7,4.2,4.9,5.7,6.7,7.7,8.9,10.2,11.7,13.3,15.1,17.1,19.3,21.7,24.3,27.1
26,13,Puriri Dale Way,0,293,All,0,0.2,0.4,0.6,0.8,1.1,1.5,2,2.6,3.3,4.2,5.3,6.7,8.4,10.4,12.8,15.6,18.9,22.7,27,31.8,36.4,40.8,44.9,48.9,52.7,56.3,59.6,62.8,65.7,68.5
27,15,Fendall Close,0,438,All,0.2,1.2,1.4,1.6,1.8,2.1,2.4,2.8,3.3,4,4.7,5.6,6.7,8.1,9.8,11.8,14.1,16.8,19.9,23.5,27.5,32,36.4,40.6,44.6,48.4,52.1,55.6,58.8,61.9,64.9
28,15,Fendall Close,438,585,All,0,1,1.1,1.2,1.3,1.4,1.6,1.7,1.9,2,2.2,2.4,2.7,3,3.4,3.8,4.2,4.7,5.2,5.8,6.6,7.4,8.4,9.4,10.6,11.9,13.2,14.8,16.5,18.3,20.4
29,15,Fendall Close,585,643,All,0,0,0,0,0,0,0,1,1.1,1.2,1.3,1.4,1.6,1.7,1.9,2,2.2,2.4,2.7,3,3.4,3.8,4.2,4.7,5.2,5.8,6.5,7.4,8.3,9.4,10.5
30,15,Fendall Close,643,736,All,2.4,2.7,3.2,3.8,4.5,5.4,6.6,8.2,10.1,12.5,15.3,18.7,22.7,27.4,32.7,38,42.9,47.6,52,56.2,60.1,63.7,67.1,70.2,73.1,75.7,78.2,80.5,82.6,84.6,86.4
31,15,Fendall Close,736,814,All,0,0.2,0.4,0.7,1,1.3,1.9,2.5,3.4,4.4,5.8,7.5,9.7,12.2,15.3,19.1,23.5,28.5,33.8,38.9,43.7,48.3,52.6,56.6,60.4,63.9,67.1,70.1,72.8,75.3,77.7
32,9339,Weston Way,814,886,All,6,7.9,10.3,13.2,16.9,21.4,26.6,32.7,38.6,44.1,49.2,54.1,58.5,62.7,66.5,70,73.1,76,78.7,81.2,83.5,85.5,87.4,89,90.4,91.6,92.7,93.7,94.6,95.5,96.2
