elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053
41,9339,Weston Way,3114,3398,All,18.24,26.89,37.75,50,62.25,73.11,81.76,88.08,92.41,95.26,97.07,98.2,98.9,99.33,99.59,99.75,99.85,99.91,99.94,99.97,99.98,99.99,99.99,100,100,100,100,100,100,100,100
42,9339,Weston Way,3398,3457,All,4.74,7.59,11.92,18.24,26.89,37.75,50,62.25,73.11,81.76,88.08,92.41,95.26,97.07,98.2,98.9,99.33,99.59,99.75,99.85,99.91,99.94,99.97,99.98,99.99,99.99,100,100,100,100,100
43,9339,Weston Way,3457,3675,All,0.09,0.15,0.25,0.41,0.67,1.1,1.8,2.93,4.74,7.59,11.92,18.24,26.89,37.75,50,62.25,73.11,81.76,88.08,92.41,95.26,97.07,98.2,98.9,99.33,99.59,99.75,99.85,99.91,99.94,99.97
44,9167,Foxglove Drive,0,668,All,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.03,0.06,0.09,0.15,0.25,0.41,0.67,1.1,1.8,2.93,4.74,7.59,11.92,18.24,26.89,37.75,50,62.25,73.11,81.76
45,16,Sarah Lane,0,515,All,4.74,7.59,11.92,18.24,26.89,37.75,50,62.25,73.11,81.76,88.08,92.41,95.26,97.07,98.2,98.9,99.33,99.59,99.75,99.85,99.91,99.94,99.97,99.98,99.99,99.99,100,100,100,100,100
46,17,Ash Drive,0,318,All,0.25,0.41,0.67,1.1,1.8,2.93,4.74,7.59,11.92,18.24,26.89,37.75,50,62.25,73.11,81.76,88.08,92.41,95.26,97.07,98.2,98.9,99.33,99.59,99.75,99.85,99.91,99.94,99.97,99.98,99.99
47,18,Monaghan Way,0,80,All,0.09,0.15,0.25,0.41,0.67,1.1,1.8,2.93,4.74,7.59,11.92,18.24,26.89,37.75,50,62.25,73.11,81.76,88.08,92.41,95.26,97.07,98.2,98.9,99.33,99.59,99.75,99.85,99.91,99.94,99.97
48,1035,Cousins Avenue East,0,61,All,2.93,4.74,7.59,11.92,18.24,26.89,37.75,50,62.25,73.11,81.76,88.08,92.41,95.26,97.07,98.2,98.9,99.33,99.59,99.75,99.85,99.91,99.94,99.97,99.98,99.99,99.99,100,100,100,100
49,19,Elm Close,0,82,All,0.41,0.67,1.1,1.8,2.93,4.74,7.59,11.92,18.24,26.89,37.75,50,62.25,73.11,81.76,88.08,92.41,95.26,97.07,98.2,98.9,99.33,99.59,99.75,99.85,99.91,99.94,99.97,99.98,99.99,99.99
50,19,Elm Close,82,101,All,1.1,1.8,2.93,4.74,7.59,11.92,18.24,26.89,37.75,50,62.25,73.11,81.76,88.08,92.41,95.26,97.07,98.2,98.9,99.33,99.59,99.75,99.85,99.91,99.94,99.97,99.98,99.99,99.99,100,100
51,20,Burkes Creek Road,0,21,All,2.93,4.74,7.59,11.92,18.24,26.89,37.75,50,62.25,73.11,81.76,88.08,92.41,95.26,97.07,98.2,98.9,99.33,99.59,99.75,99.85,99.91,99.94,99.97,99.98,99.99,99.99,100,100,100,100
52,20,Burkes Creek Road,21,520,All,2.93,4.74,7.59,11.92,18.24,26.89,37.75,50,62.25,73.11,81.76,88.08,92.41,95.26,97.07,98.2,98.9,99.33,99.59,99.75,99.85,99.91,99.94,99.97,99.98,99.99,99.99,100,100,100,100
53,20,Burkes Creek Road,549,697,All,7.59,11.92,18.24,26.89,37.75,50,62.25,73.11,81.76,88.08,92.41,95.26,97.07,98.2,98.9,99.33,99.59,99.75,99.85,99.91,99.94,99.97,99.98,99.99,99.99,100,100,100,100,100,100
54,20,Burkes Creek Road,697,765,All,0.41,0.67,1.1,1.8,2.93,4.74,7.59,11.92,18.24,26.89,37.75,50,62.25,73.11,81.76,88.08,92.41,95.26,97.07,98.2,98.9,99.33,99.59,99.75,99.85,99.91,99.94,99.97,99.98,99.99,99.99
55,20,Burkes Creek Road,765,1789,All,7.59,11.92,18.24,26.89,37.75,50,62.25,73.11,81.76,88.08,92.41,95.26,97.07,98.2,98.9,99.33,99.59,99.75,99.85,99.91,99.94,99.97,99.98,99.99,99.99,100,100,100,100,100,100
56,21,Tapeka Heights Lane,0,277,All,7.59,11.92,18.24,26.89,37.75,50,62.25,73.11,81.76,88.08,92.41,95.26,97.07,98.2,98.9,99.33,99.59,99.75,99.85,99.91,99.94,99.97,99.98,99.99,99.99,100,100,100,100,100,100
57,22,Sir John McKenzie Drive,0,530,All,2.93,4.74,7.59,11.92,18.24,26.89,37.75,50,62.25,73.11,81.76,88.08,92.41,95.26,97.07,98.2,98.9,99.33,99.59,99.75,99.85,99.91,99.94,99.97,99.98,99.99,99.99,100,100,100,100
58,23,Apple Orchard Lane,0,185,All,73.11,81.76,88.08,92.41,95.26,97.07,98.2,98.9,99.33,99.59,99.75,99.85,99.91,99.94,99.97,99.98,99.99,99.99,100,100,100,100,100,100,100,100,100,100,100,100,100
59,974,Railway Terrace East,0,730,All,0.41,0.67,1.1,1.8,2.93,4.74,7.59,11.92,18.24,26.89,37.75,50,62.25,73.11,81.76,88.08,92.41,95.26,97.07,98.2,98.9,99.33,99.59,99.75,99.85,99.91,99.94,99.97,99.98,99.99,99.99
60,24,George Noble Road,0,272,All,1.8,2.93,4.74,7.59,11.92,18.24,26.89,37.75,50,62.25,73.11,81.76,88.08,92.41,95.26,97.07,98.2,98.9,99.33,99.59,99.75,99.85,99.91,99.94,99.97,99.98,99.99,99.99,100,100,100
61,24,George Noble Road,272,286,All,0,0,0,0,0,0,0,0.01,0.01,0.02,0.03,0.06,0.09,0.15,0.25,0.41,0.67,1.1,1.8,2.93,4.74,7.59,11.92,18.24,26.89,37.75,50,62.25,73.11,81.76,88.08
62,25,Founders Lane,0,597,All,0,0,0.01,0.01,0.02,0.03,0.06,0.09,0.15,0.25,0.41,0.67,1.1,1.8,2.93,4.74,7.59,11.92,18.24,26.89,37.75,50,62.25,73.11,81.76,88.08,92.41,95.26,97.07,98.2,98.9
63,26,Stud Road,0,205,All,0.67,1.1,1.8,2.93,4.74,7.59,11.92,18.24,26.89,37.75,50,62.25,73.11,81.76,88.08,92.41,95.26,97.07,98.2,98.9,99.33,99.59,99.75,99.85,99.91,99.94,99.97,99.98,99.99,99.99,100
