elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053
27,15,Fendall Close,0,438,All,53.71,56.11,58.32,59.12,60.72,62.32,63.73,65.33,66.93,66.93,66.93,66.93,66.93,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
28,15,Fendall Close,438,585,All,31.06,31.06,31.06,37.27,43.49,46.69,49.9,52.91,62.32,62.32,65.33,65.33,65.33,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
29,15,Fendall Close,585,643,All,14.43,16.83,16.83,16.83,16.83,15.23,16.83,16.83,16.83,16.83,16.83,15.23,14.43,14.43,14.43,14.43,14.43,16.03,16.03,16.03,16.03,16.03,16.03,16.03,16.03,16.83,16.83,16.83,16.83,100,100
30,15,Fendall Close,643,736,All,31.06,31.06,31.06,37.27,43.49,46.69,49.9,52.91,62.32,62.32,65.33,65.33,65.33,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
31,15,Fendall Close,736,814,All,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
32,9339,Weston Way,814,886,All,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
33,9339,Weston Way,886,939,All,40.28,41.88,41.88,37.27,33.27,33.27,33.27,37.27,37.27,37.27,38.68,40.28,41.08,43.49,46.69,46.69,46.69,100,100,100,100,100,100,100,100,100,100,100,100,100,100
34,9339,Weston Way,965,1051,All,22.44,23.25,23.25,22.85,21.64,21.64,21.64,21.64,21.64,21.64,20.44,20.44,20.44,20.44,20.44,21.24,21.24,21.24,21.24,18.44,18.44,18.44,18.44,18.44,20.04,100,100,100,100,100,100
35,9339,Weston Way,1051,1219,All,87.58,87.58,87.58,87.58,87.58,87.58,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
36,9339,Weston Way,1237,1589,All,90.58,90.58,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
37,9339,Weston Way,1589,1999,All,90.58,90.58,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
38,9339,Weston Way,1999,2369,All,90.58,90.58,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
39,9339,Weston Way,2385,2696,All,87.58,87.58,87.58,87.58,87.58,87.58,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
40,9339,Weston Way,2696,3114,All,87.58,87.58,87.58,87.58,87.58,87.58,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
41,9339,Weston Way,3114,3398,All,66.13,66.93,67.74,69.34,69.34,71.74,72.55,72.55,72.55,72.55,72.55,72.55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
42,9339,Weston Way,3398,3457,All,58.32,56.11,54.51,54.51,48.3,46.69,38.68,37.88,35.67,35.67,34.87,31.06,31.66,32.46,31.06,31.06,29.46,31.06,30.26,30.26,30.26,100,100,100,100,100,100,100,100,100,100
43,9339,Weston Way,3457,3675,All,27.86,24.05,22.44,21.64,20.84,20.84,20.04,20.04,20.04,18.44,17.64,17.64,17.64,16.83,15.23,15.23,15.23,15.23,15.23,15.23,15.23,15.23,15.23,15.23,15.23,15.23,15.23,15.23,13.63,13.63,13.63
44,9167,Foxglove Drive,0,668,All,13.63,13.63,13.63,13.63,12.22,10.62,9.02,9.02,9.02,9.02,6.01,6.01,6.01,6.01,6.01,6.01,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.81
45,16,Sarah Lane,0,515,All,56.11,56.11,56.11,56.11,56.11,49.9,46.69,40.28,40.28,40.28,40.28,41.88,43.49,41.88,41.88,43.49,43.49,43.49,100,100,100,100,100,100,100,100,100,100,100,100,100
46,17,Ash Drive,0,318,All,18.04,18.84,20.04,20.04,20.04,20.04,21.24,21.64,22.04,22.04,24.85,26.25,26.25,26.25,26.25,27.86,29.46,34.07,36.87,100,100,100,100,100,100,100,100,100,100,100,100
47,18,Monaghan Way,0,80,All,15.23,18.44,18.44,18.44,18.44,18.44,18.44,18.44,18.44,18.44,20.04,20.04,20.04,20.04,20.04,20.04,20.04,20.04,20.04,20.04,20.04,20.04,21.64,21.64,100,100,100,100,100,100,100
48,1035,Cousins Avenue East,0,61,All,54.51,53.71,49.9,43.49,31.06,31.06,30.26,30.26,27.05,26.25,26.25,21.64,20.84,20.84,20.84,20.84,20.04,18.44,17.64,16.83,16.83,16.83,16.83,16.83,16.83,16.03,16.03,16.03,16.03,16.03,16.03
49,19,Elm Close,0,82,All,20.04,20.84,20.84,20.84,21.64,22.44,24.85,26.25,26.25,27.05,27.86,27.86,27.86,31.06,34.07,37.88,40.28,40.28,100,100,100,100,100,100,100,100,100,100,100,100,100
50,19,Elm Close,82,101,All,22.24,28.06,29.26,29.26,29.46,31.06,32.46,37.88,38.68,43.49,48.3,50.7,50.7,51.3,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
51,20,Burkes Creek Road,0,21,All,46.69,46.69,49.9,49.9,49.9,56.11,56.11,56.11,62.32,56.11,62.32,62.32,62.32,62.32,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
52,20,Burkes Creek Road,21,520,All,46.69,46.69,49.9,49.9,49.9,56.11,56.11,56.11,62.32,56.11,62.32,62.32,62.32,62.32,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
53,20,Burkes Creek Road,549,697,All,62.32,62.32,62.32,65.33,65.33,68.54,68.54,68.54,68.54,68.54,71.74,71.74,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
54,20,Burkes Creek Road,697,765,All,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,27.86,100,100,100,100,100,100,100,100,100
55,20,Burkes Creek Road,765,1789,All,62.32,62.32,62.32,65.33,65.33,68.54,68.54,68.54,68.54,68.54,71.74,71.74,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
56,21,Tapeka Heights Lane,0,277,All,62.32,60.72,60.72,60.72,59.12,57.52,59.12,54.51,52.91,46.69,47.49,46.69,48.3,48.3,48.3,48.3,48.3,100,100,100,100,100,100,100,100,100,100,100,100,100,100
57,22,Sir John McKenzie Drive,0,530,All,43.49,43.49,49.9,54.51,57.52,59.12,62.32,65.33,67.74,67.74,67.74,69.34,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
58,23,Apple Orchard Lane,0,185,All,70.94,70.14,68.54,68.54,68.54,65.33,65.33,62.32,62.32,48.3,45.09,43.49,40.28,40.28,37.88,37.27,31.06,31.06,29.46,29.46,29.46,24.85,24.85,100,100,100,100,100,100,100,100
59,974,Railway Terrace East,0,730,All,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,24.85,27.86,100,100,100,100,100,100,100,100,100
60,24,George Noble Road,0,272,All,38.68,40.28,40.28,37.27,34.07,37.27,38.68,38.68,43.49,43.49,46.69,48.3,49.9,49.9,49.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
61,24,George Noble Road,272,286,All,10.62,11.42,10.62,9.02,9.02,8.22,8.22,8.22,7.41,4.41,4.41,4.41,4.41,4.41,4.41,6.01,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41
62,25,Founders Lane,0,597,All,2.81,2.81,2.81,2.81,2.81,2.81,6.01,6.01,6.01,6.01,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,12.22,12.22,12.22,12.22,12.22,12.22,12.22
